date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,symbol,revenue,net_income,operating_income,gross_profit,total_assets,total_liabilities,long_term_debt,cash_and_equivalents,operating_cashflow,capital_expenditures,real_gdp,real_gdp_per_capita,cpi,inflation,unemployment,federal_funds_rate,retail_sales,treasury_yield_10y
2022-01-03,145.135,151.65,145.02,150.24,150.24,59477667,0.0,1.0,AMD,5887000000.0,786000000.0,951000000.0,2818000000.0,66915000000.0,11582000000.0,1475000000.0,4740000000.0,995000000.0,71000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-04,151.01,152.42,140.7,144.42,144.42,80200455,0.0,1.0,AMD,5887000000.0,786000000.0,951000000.0,2818000000.0,66915000000.0,11582000000.0,1475000000.0,4740000000.0,995000000.0,71000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-05,142.815,143.76,135.29,136.15,136.15,65403174,0.0,1.0,AMD,5887000000.0,786000000.0,951000000.0,2818000000.0,66915000000.0,11582000000.0,1475000000.0,4740000000.0,995000000.0,71000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-06,136.19,138.0,131.77,136.23,136.23,64802937,0.0,1.0,AMD,5887000000.0,786000000.0,951000000.0,2818000000.0,66915000000.0,11582000000.0,1475000000.0,4740000000.0,995000000.0,71000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-07,136.28,137.44,131.13,132.0,132.0,58441104,0.0,1.0,AMD,5887000000.0,786000000.0,951000000.0,2818000000.0,66915000000.0,11582000000.0,1475000000.0,4740000000.0,995000000.0,71000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-10,129.08,132.42,125.03,132.0,132.0,84671336,0.0,1.0,AMD,5887000000.0,786000000.0,951000000.0,2818000000.0,66915000000.0,11582000000.0,1475000000.0,4740000000.0,995000000.0,71000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-11,133.45,138.99,131.59,137.31,137.31,76931592,0.0,1.0,AMD,5887000000.0,786000000.0,951000000.0,2818000000.0,66915000000.0,11582000000.0,1475000000.0,4740000000.0,995000000.0,71000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-12,138.585,140.57,135.77,137.47,137.47,69669598,0.0,1.0,AMD,5887000000.0,786000000.0,951000000.0,2818000000.0,66915000000.0,11582000000.0,1475000000.0,4740000000.0,995000000.0,71000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-13,139.44,141.25,131.81,132.74,132.74,76618059,0.0,1.0,AMD,5887000000.0,786000000.0,951000000.0,2818000000.0,66915000000.0,11582000000.0,1475000000.0,4740000000.0,995000000.0,71000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-14,131.68,137.0,131.43,136.88,136.88,71078438,0.0,1.0,AMD,5887000000.0,786000000.0,951000000.0,2818000000.0,66915000000.0,11582000000.0,1475000000.0,4740000000.0,995000000.0,71000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
