date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,symbol,revenue,net_income,operating_income,gross_profit,total_assets,total_liabilities,long_term_debt,cash_and_equivalents,operating_cashflow,capital_expenditures,real_gdp,real_gdp_per_capita,cpi,inflation,unemployment,federal_funds_rate,retail_sales,treasury_yield_10y
2022-01-03,795.74,799.36,784.96,797.49,762.903154434764,720765,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-04,793.63,793.63,763.2901,779.19,745.39681864854,874092,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-05,765.91,766.54,745.04,745.67,713.330568618253,1193232,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-06,739.53,763.76,729.805,763.12,730.02376858927,2041214,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-07,758.39,763.36,743.6,756.1,723.30822338603,1363367,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-10,716.5184,727.66,702.3,727.17,695.632906757862,1973435,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-11,706.99,731.44,700.71,729.16,697.536601195818,2117612,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-12,739.31,749.45,735.0,742.17,709.982362320341,959784,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-13,772.41,777.92,728.64,730.08,698.416701136983,1628708,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-14,735.6,746.5999,728.17,744.53,712.240009995505,1313588,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-18,741.03,741.07,714.24,715.23,684.210740130129,1173030,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-19,736.94,738.88,698.71,698.82,668.512435744777,1585180,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-20,724.89,729.98,706.21,706.46,675.821091777933,1536534,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-21,707.29,721.2,694.71,694.73,664.599817528074,1689588,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-24,666.05,688.64,648.6327,687.42,657.606849517293,2834486,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-25,652.64,668.1562,643.82,648.57,620.441759610472,2095298,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-26,661.63,679.38,644.655,653.26,624.928356049673,1376682,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-27,664.8,665.0,631.4,634.66,607.135031152199,1465639,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-28,633.6,644.98,620.67,644.97,616.997890275477,1339743,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-31,650.7,677.55,648.0318,677.2,647.83008712739,1357612,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-02-01,682.55,683.71,666.27,681.48,651.924465114551,944978,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65770.0,283.716,8.00279982052121,3.8,0.08,496221.0,1.93
2022-02-02,687.95,691.24,674.09,686.75,656.965907168835,713603,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65770.0,283.716,8.00279982052121,3.8,0.08,496221.0,1.93
2022-02-03,659.09,664.67,644.47,645.93,617.916255431475,1211974,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65770.0,283.716,8.00279982052121,3.8,0.08,496221.0,1.93
2022-02-04,648.05,661.21,643.3,652.81,624.497872382799,863271,0.0,1.0,ASML,3534400000.0,695300000.0,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0,22075.931,65770.0,283.716,8.00279982052121,3.8,0.08,496221.0,1.93
