date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,symbol,revenue,net_income,operating_income,gross_profit,total_assets,total_liabilities,long_term_debt,cash_and_equivalents,operating_cashflow,capital_expenditures,real_gdp,real_gdp_per_capita,cpi,inflation,unemployment,federal_funds_rate,retail_sales,treasury_yield_10y
2022-01-03,2901.1,2917.02,2874.255,2899.83,143.991664117852,1433947,0.0,1.0,GOOGL,68011000000.0,16436000000.0,20094000000.0,38412000000.0,357096000000.0,103092000000.0,14791000000.0,20886000000.0,25106000000.0,9786000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-04,2907.92,2929.6978,2874.325,2887.99,143.403746445728,1419972,0.0,1.0,GOOGL,68011000000.0,16436000000.0,20094000000.0,38412000000.0,357096000000.0,103092000000.0,14791000000.0,20886000000.0,25106000000.0,9786000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-05,2888.4,2889.9875,2753.76,2755.5,136.824927832577,2730914,0.0,1.0,GOOGL,68011000000.0,16436000000.0,20094000000.0,38412000000.0,357096000000.0,103092000000.0,14791000000.0,20886000000.0,25106000000.0,9786000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-06,2739.97,2798.8,2731.17,2754.95,136.79761746774,1867371,0.0,1.0,GOOGL,68011000000.0,16436000000.0,20094000000.0,38412000000.0,357096000000.0,103092000000.0,14791000000.0,20886000000.0,25106000000.0,9786000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-07,2762.91,2768.97,2715.33,2740.34,136.072154867256,1488028,0.0,1.0,GOOGL,68011000000.0,16436000000.0,20094000000.0,38412000000.0,357096000000.0,103092000000.0,14791000000.0,20886000000.0,25106000000.0,9786000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-10,2701.56,2776.39,2663.29,2773.39,137.713259517906,2220406,0.0,1.0,GOOGL,68011000000.0,16436000000.0,20094000000.0,38412000000.0,357096000000.0,103092000000.0,14791000000.0,20886000000.0,25106000000.0,9786000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-11,2760.14,2804.32,2733.845,2794.72,138.772405121487,1212802,0.0,1.0,GOOGL,68011000000.0,16436000000.0,20094000000.0,38412000000.0,357096000000.0,103092000000.0,14791000000.0,20886000000.0,25106000000.0,9786000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-12,2823.0,2852.155,2813.89,2828.61,140.455220147525,1305602,0.0,1.0,GOOGL,68011000000.0,16436000000.0,20094000000.0,38412000000.0,357096000000.0,103092000000.0,14791000000.0,20886000000.0,25106000000.0,9786000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-13,2830.8,2857.0,2768.18,2771.74,137.631328423395,1571830,0.0,1.0,GOOGL,68011000000.0,16436000000.0,20094000000.0,38412000000.0,357096000000.0,103092000000.0,14791000000.0,20886000000.0,25106000000.0,9786000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-14,2741.58,2814.84,2739.97,2789.61,138.518667004549,1483064,0.0,1.0,GOOGL,68011000000.0,16436000000.0,20094000000.0,38412000000.0,357096000000.0,103092000000.0,14791000000.0,20886000000.0,25106000000.0,9786000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-18,2723.5,2742.63,2708.765,2719.96,135.060181712029,1722349,0.0,1.0,GOOGL,68011000000.0,16436000000.0,20094000000.0,38412000000.0,357096000000.0,103092000000.0,14791000000.0,20886000000.0,25106000000.0,9786000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-19,2730.47,2759.19,2700.31,2702.33,134.184760380986,1400853,0.0,1.0,GOOGL,68011000000.0,16436000000.0,20094000000.0,38412000000.0,357096000000.0,103092000000.0,14791000000.0,20886000000.0,25106000000.0,9786000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-20,2725.0,2752.52,2659.2931,2666.15,132.38823492681,1495357,0.0,1.0,GOOGL,68011000000.0,16436000000.0,20094000000.0,38412000000.0,357096000000.0,103092000000.0,14791000000.0,20886000000.0,25106000000.0,9786000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-21,2651.87,2697.3106,2601.73,2607.03,129.452618982893,2782571,0.0,1.0,GOOGL,68011000000.0,16436000000.0,20094000000.0,38412000000.0,357096000000.0,103092000000.0,14791000000.0,20886000000.0,25106000000.0,9786000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-24,2519.56,2624.06,2490.0,2616.08,129.901998622481,3834712,0.0,1.0,GOOGL,68011000000.0,16436000000.0,20094000000.0,38412000000.0,357096000000.0,103092000000.0,14791000000.0,20886000000.0,25106000000.0,9786000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-25,2574.8,2587.98,2530.01,2538.7,126.059678565982,2348028,0.0,1.0,GOOGL,68011000000.0,16436000000.0,20094000000.0,38412000000.0,357096000000.0,103092000000.0,14791000000.0,20886000000.0,25106000000.0,9786000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-26,2622.38,2660.0,2542.84,2584.66,128.341831962166,2456475,0.0,1.0,GOOGL,68011000000.0,16436000000.0,20094000000.0,38412000000.0,357096000000.0,103092000000.0,14791000000.0,20886000000.0,25106000000.0,9786000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-27,2626.08,2653.045,2578.6458,2580.1,128.115404210064,1600939,0.0,1.0,GOOGL,68011000000.0,16436000000.0,20094000000.0,38412000000.0,357096000000.0,103092000000.0,14791000000.0,20886000000.0,25106000000.0,9786000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-28,2593.18,2667.13,2569.7,2667.02,132.431434958461,1718074,0.0,1.0,GOOGL,68011000000.0,16436000000.0,20094000000.0,38412000000.0,357096000000.0,103092000000.0,14791000000.0,20886000000.0,25106000000.0,9786000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-31,2683.2399,2709.46,2644.19,2706.07,134.370470861876,1999300,0.0,1.0,GOOGL,68011000000.0,16436000000.0,20094000000.0,38412000000.0,357096000000.0,103092000000.0,14791000000.0,20886000000.0,25106000000.0,9786000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-02-01,2751.89,2755.855,2687.37,2752.88,136.694831185536,3432182,0.0,1.0,GOOGL,68011000000.0,16436000000.0,20094000000.0,38412000000.0,357096000000.0,103092000000.0,14791000000.0,20886000000.0,25106000000.0,9786000000.0,22075.931,65770.0,283.716,8.00279982052121,3.8,0.08,496221.0,1.93
2022-02-02,3025.0,3030.9315,2910.4501,2960.0,146.979418031002,6159961,0.0,1.0,GOOGL,68011000000.0,16436000000.0,20094000000.0,38412000000.0,357096000000.0,103092000000.0,14791000000.0,20886000000.0,25106000000.0,9786000000.0,22075.931,65770.0,283.716,8.00279982052121,3.8,0.08,496221.0,1.93
2022-02-03,2914.11,2993.5,2853.3063,2861.8,142.103276527406,3575861,0.0,1.0,GOOGL,68011000000.0,16436000000.0,20094000000.0,38412000000.0,357096000000.0,103092000000.0,14791000000.0,20886000000.0,25106000000.0,9786000000.0,22075.931,65770.0,283.716,8.00279982052121,3.8,0.08,496221.0,1.93
2022-02-04,2868.8927,2897.5,2810.3,2865.86,142.304876675111,2899911,0.0,1.0,GOOGL,68011000000.0,16436000000.0,20094000000.0,38412000000.0,357096000000.0,103092000000.0,14791000000.0,20886000000.0,25106000000.0,9786000000.0,22075.931,65770.0,283.716,8.00279982052121,3.8,0.08,496221.0,1.93
2022-02-07,2885.0,2885.0,2778.0,2784.02,138.241094387389,2748665,0.0,1.0,GOOGL,68011000000.0,16436000000.0,20094000000.0,38412000000.0,357096000000.0,103092000000.0,14791000000.0,20886000000.0,25106000000.0,9786000000.0,22075.931,65770.0,283.716,8.00279982052121,3.8,0.08,496221.0,1.93
2022-02-08,2780.53,2800.0,2740.277,2787.98,138.437729014214,2714180,0.0,1.0,GOOGL,68011000000.0,16436000000.0,20094000000.0,38412000000.0,357096000000.0,103092000000.0,14791000000.0,20886000000.0,25106000000.0,9786000000.0,22075.931,65770.0,283.716,8.00279982052121,3.8,0.08,496221.0,1.93
2022-02-09,2819.27,2850.485,2803.7406,2831.84,140.61560647193,2007194,0.0,1.0,GOOGL,68011000000.0,16436000000.0,20094000000.0,38412000000.0,357096000000.0,103092000000.0,14791000000.0,20886000000.0,25106000000.0,9786000000.0,22075.931,65770.0,283.716,8.00279982052121,3.8,0.08,496221.0,1.93
2022-02-10,2794.07,2829.69,2759.14,2772.4,137.6641008612,1966533,0.0,1.0,GOOGL,68011000000.0,16436000000.0,20094000000.0,38412000000.0,357096000000.0,103092000000.0,14791000000.0,20886000000.0,25106000000.0,9786000000.0,22075.931,65770.0,283.716,8.00279982052121,3.8,0.08,496221.0,1.93
2022-02-11,2772.0,2783.125,2668.0,2685.65,133.356511498298,1997917,0.0,1.0,GOOGL,68011000000.0,16436000000.0,20094000000.0,38412000000.0,357096000000.0,103092000000.0,14791000000.0,20886000000.0,25106000000.0,9786000000.0,22075.931,65770.0,283.716,8.00279982052121,3.8,0.08,496221.0,1.93
2022-02-14,2665.13,2726.0,2665.13,2710.52,134.591436541011,1715054,0.0,1.0,GOOGL,68011000000.0,16436000000.0,20094000000.0,38412000000.0,357096000000.0,103092000000.0,14791000000.0,20886000000.0,25106000000.0,9786000000.0,22075.931,65770.0,283.716,8.00279982052121,3.8,0.08,496221.0,1.93
