date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,symbol,revenue,net_income,operating_income,gross_profit,total_assets,total_liabilities,long_term_debt,cash_and_equivalents,operating_cashflow,capital_expenditures,real_gdp,real_gdp_per_capita,cpi,inflation,unemployment,federal_funds_rate,retail_sales,treasury_yield_10y
2022-01-03,124.125,129.5859,124.0,128.8,120.664506466984,18638186,0.0,1.0,TSM,491075873000.0,166232291000.0,223790118000.0,273203166000.0,3992676667000.0,1671207913000.0,629650000000.0,1151589646000.0,372169688000.0,262717722000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-04,130.87,135.5,130.3,133.4,124.973953126519,25554943,0.0,1.0,TSM,491075873000.0,166232291000.0,223790118000.0,273203166000.0,3992676667000.0,1671207913000.0,629650000000.0,1151589646000.0,372169688000.0,262717722000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-05,130.71,130.88,126.88,127.06,119.034411426204,17891191,0.0,1.0,TSM,491075873000.0,166232291000.0,223790118000.0,273203166000.0,3992676667000.0,1671207913000.0,629650000000.0,1151589646000.0,372169688000.0,262717722000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-06,127.0,129.0,124.81,128.47,120.355350510974,16248974,0.0,1.0,TSM,491075873000.0,166232291000.0,223790118000.0,273203166000.0,3992676667000.0,1671207913000.0,629650000000.0,1151589646000.0,372169688000.0,262717722000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-07,126.55,127.14,123.31,123.5,115.699274446215,21248087,0.0,1.0,TSM,491075873000.0,166232291000.0,223790118000.0,273203166000.0,3992676667000.0,1671207913000.0,629650000000.0,1151589646000.0,372169688000.0,262717722000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-10,125.11,125.87,123.26,125.01,117.113897154019,11857712,0.0,1.0,TSM,491075873000.0,166232291000.0,223790118000.0,273203166000.0,3992676667000.0,1671207913000.0,629650000000.0,1151589646000.0,372169688000.0,262717722000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-11,126.54,129.55,125.4975,129.17,121.011135872208,11909650,0.0,1.0,TSM,491075873000.0,166232291000.0,223790118000.0,273203166000.0,3992676667000.0,1671207913000.0,629650000000.0,1151589646000.0,372169688000.0,262717722000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-12,130.5,132.92,130.22,132.23,123.877854737029,16389195,0.0,1.0,TSM,491075873000.0,166232291000.0,223790118000.0,273203166000.0,3992676667000.0,1671207913000.0,629650000000.0,1151589646000.0,372169688000.0,262717722000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-13,140.75,145.0,138.92,139.19,130.398234900152,52019992,0.0,1.0,TSM,491075873000.0,166232291000.0,223790118000.0,273203166000.0,3992676667000.0,1671207913000.0,629650000000.0,1151589646000.0,372169688000.0,262717722000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-14,136.09,143.88,136.09,140.66,131.775384158742,28255335,0.0,1.0,TSM,491075873000.0,166232291000.0,223790118000.0,273203166000.0,3992676667000.0,1671207913000.0,629650000000.0,1151589646000.0,372169688000.0,262717722000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-18,136.75,137.1799,133.29,133.83,125.376792705563,14791715,0.0,1.0,TSM,491075873000.0,166232291000.0,223790118000.0,273203166000.0,3992676667000.0,1671207913000.0,629650000000.0,1151589646000.0,372169688000.0,262717722000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2022-01-19,134.62,135.9,130.94,131.01,122.734914536022,10863066,0.0,1.0,TSM,491075873000.0,166232291000.0,223790118000.0,273203166000.0,3992676667000.0,1671207913000.0,629650000000.0,1151589646000.0,372169688000.0,262717722000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
