date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,symbol,year,revenue,net_income,operating_income,gross_profit,total_assets,total_liabilities,long_term_debt,cash_and_equivalents,operating_cashflow,capital_expenditures,real_gdp,real_gdp_per_capita,cpi,inflation,unemployment,federal_funds_rate,retail_sales,treasury_yield_10y
2021-01-04,222.53,223.0,214.81,217.69,208.867704119569,37130139,0.0,1.0,MSFT,2021.0,41706000000.0,15457000000.0,17048000000.0,28661000000.0,308879000000.0,174374000000.0,50007000000.0,13702000000.0,22179000000.0,5089000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2021-01-05,217.26,218.52,215.7,217.9,209.069193475373,23822953,0.0,1.0,MSFT,2021.0,41706000000.0,15457000000.0,17048000000.0,28661000000.0,308879000000.0,174374000000.0,50007000000.0,13702000000.0,22179000000.0,5089000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2021-01-06,212.17,216.4899,211.94,212.25,203.648170331106,35930653,0.0,1.0,MSFT,2021.0,41706000000.0,15457000000.0,17048000000.0,28661000000.0,308879000000.0,174374000000.0,50007000000.0,13702000000.0,22179000000.0,5089000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2021-01-07,214.04,219.34,213.71,218.29,209.443387993296,27694480,0.0,1.0,MSFT,2021.0,41706000000.0,15457000000.0,17048000000.0,28661000000.0,308879000000.0,174374000000.0,50007000000.0,13702000000.0,22179000000.0,5089000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2021-01-08,218.68,220.58,217.0261,219.62,210.719487246726,22956206,0.0,1.0,MSFT,2021.0,41706000000.0,15457000000.0,17048000000.0,28661000000.0,308879000000.0,174374000000.0,50007000000.0,13702000000.0,22179000000.0,5089000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2021-01-11,218.47,218.91,216.73,217.49,208.675809494993,23047029,0.0,1.0,MSFT,2021.0,41706000000.0,15457000000.0,17048000000.0,28661000000.0,308879000000.0,174374000000.0,50007000000.0,13702000000.0,22179000000.0,5089000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2021-01-12,216.5,217.1,213.3202,214.93,206.219558300422,23148341,0.0,1.0,MSFT,2021.0,41706000000.0,15457000000.0,17048000000.0,28661000000.0,308879000000.0,174374000000.0,50007000000.0,13702000000.0,22179000000.0,5089000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2021-01-13,214.02,216.76,213.9266,216.34,207.572415403682,20087080,0.0,1.0,MSFT,2021.0,41706000000.0,15457000000.0,17048000000.0,28661000000.0,308879000000.0,174374000000.0,50007000000.0,13702000000.0,22179000000.0,5089000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2021-01-14,215.91,217.46,212.74,213.02,204.386964635723,29346737,0.0,1.0,MSFT,2021.0,41706000000.0,15457000000.0,17048000000.0,28661000000.0,308879000000.0,174374000000.0,50007000000.0,13702000000.0,22179000000.0,5089000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2021-01-15,213.52,214.51,212.03,212.65,204.031959580258,31746512,0.0,1.0,MSFT,2021.0,41706000000.0,15457000000.0,17048000000.0,28661000000.0,308879000000.0,174374000000.0,50007000000.0,13702000000.0,22179000000.0,5089000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2021-01-19,213.75,216.98,212.63,216.44,207.66836271597,30480859,0.0,1.0,MSFT,2021.0,41706000000.0,15457000000.0,17048000000.0,28661000000.0,308879000000.0,174374000000.0,50007000000.0,13702000000.0,22179000000.0,5089000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2021-01-20,217.7,225.79,217.2908,224.34,215.248200386715,37777260,0.0,1.0,MSFT,2021.0,41706000000.0,15457000000.0,17048000000.0,28661000000.0,308879000000.0,174374000000.0,50007000000.0,13702000000.0,22179000000.0,5089000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
