date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,symbol,year,revenue,net_income,operating_income,gross_profit,total_assets,total_liabilities,long_term_debt,cash_and_equivalents,operating_cashflow,capital_expenditures,real_gdp,real_gdp_per_capita,cpi,inflation,unemployment,federal_funds_rate,retail_sales,treasury_yield_10y
2021-01-04,524.17,546.0999,518.5,524.54,13.0773280568105,14016045,0.0,1.0,NVDA,2021.0,5003000000.0,1457000000.0,1507000000.0,3156000000.0,28791000000.0,11898000000.0,5964000000.0,847000000.0,2067000000.0,283000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2021-01-05,523.99,537.74,523.48,536.19,13.3677746802555,8068998,0.0,1.0,NVDA,2021.0,5003000000.0,1457000000.0,1507000000.0,3156000000.0,28791000000.0,11898000000.0,5964000000.0,847000000.0,2067000000.0,283000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2021-01-06,528.9,529.8,503.44,504.58,12.5797044856549,14510575,0.0,1.0,NVDA,2021.0,5003000000.0,1457000000.0,1507000000.0,3156000000.0,28791000000.0,11898000000.0,5964000000.0,847000000.0,2067000000.0,283000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2021-01-07,518.7,535.11,515.4601,533.76,13.3071922515026,11537037,0.0,1.0,NVDA,2021.0,5003000000.0,1457000000.0,1507000000.0,3156000000.0,28791000000.0,11898000000.0,5964000000.0,847000000.0,2067000000.0,283000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2021-01-08,534.5,536.8399,521.68,531.07,13.2401277521835,7313215,0.0,1.0,NVDA,2021.0,5003000000.0,1457000000.0,1507000000.0,3156000000.0,28791000000.0,11898000000.0,5964000000.0,847000000.0,2067000000.0,283000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2021-01-11,536.75,558.44,534.5,544.86,13.5839268025961,12975720,0.0,1.0,NVDA,2021.0,5003000000.0,1457000000.0,1507000000.0,3156000000.0,28791000000.0,11898000000.0,5964000000.0,847000000.0,2067000000.0,283000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2021-01-12,550.1,550.18,533.8,539.39,13.4475540103005,7178074,0.0,1.0,NVDA,2021.0,5003000000.0,1457000000.0,1507000000.0,3156000000.0,28791000000.0,11898000000.0,5964000000.0,847000000.0,2067000000.0,283000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2021-01-13,539.5986,544.9999,535.4001,541.27,13.4944243667019,5250711,0.0,1.0,NVDA,2021.0,5003000000.0,1457000000.0,1507000000.0,3156000000.0,28791000000.0,11898000000.0,5964000000.0,847000000.0,2067000000.0,283000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2021-01-14,543.0,543.99,527.22,528.01,13.163838767828,7078007,0.0,1.0,NVDA,2021.0,5003000000.0,1457000000.0,1507000000.0,3156000000.0,28791000000.0,11898000000.0,5964000000.0,847000000.0,2067000000.0,283000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2021-01-15,529.12,533.01,513.94,514.38,12.8240286839177,6944532,0.0,1.0,NVDA,2021.0,5003000000.0,1457000000.0,1507000000.0,3156000000.0,28791000000.0,11898000000.0,5964000000.0,847000000.0,2067000000.0,283000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
2021-01-19,520.65,523.7593,513.76,521.01,12.9893214833546,5654672,0.0,1.0,NVDA,2021.0,5003000000.0,1457000000.0,1507000000.0,3156000000.0,28791000000.0,11898000000.0,5964000000.0,847000000.0,2067000000.0,283000000.0,22075.931,65770.0,281.148,8.00279982052121,4.0,0.08,505782.0,1.76
