date,symbol,revenue,net_income,eps,operating_income,gross_profit,total_assets,total_liabilities,long_term_debt,cash_and_equivalents,operating_cashflow,capital_expenditures
2022-03-31,AAPL,97278000000.0,25010000000.0,,29979000000.0,42559000000.0,350662000000.0,283263000000.0,103323000000.0,28098000000.0,28166000000.0,2514000000.0
2022-06-30,AAPL,82959000000.0,19442000000.0,,23076000000.0,35885000000.0,336309000000.0,278202000000.0,94700000000.0,27502000000.0,22892000000.0,2102000000.0
2022-09-30,AAPL,90146000000.0,20721000000.0,,24894000000.0,38095000000.0,352755000000.0,302083000000.0,98959000000.0,23646000000.0,24127000000.0,3289000000.0
2022-12-31,AAPL,117154000000.0,29998000000.0,,36016000000.0,50332000000.0,346747000000.0,290020000000.0,99627000000.0,20535000000.0,34005000000.0,3787000000.0
2023-03-31,AAPL,94836000000.0,24160000000.0,,28318000000.0,41976000000.0,332160000000.0,270002000000.0,97041000000.0,24687000000.0,28560000000.0,2916000000.0
2023-06-30,AAPL,81797000000.0,19881000000.0,,22998000000.0,36413000000.0,335038000000.0,274764000000.0,98071000000.0,28408000000.0,26380000000.0,2093000000.0
2023-09-30,AAPL,89498000000.0,22956000000.0,,26969000000.0,40427000000.0,352583000000.0,290437000000.0,95281000000.0,29965000000.0,21598000000.0,2163000000.0
2023-12-31,AAPL,119575000000.0,33916000000.0,,40373000000.0,54855000000.0,353514000000.0,279414000000.0,95088000000.0,40760000000.0,39895000000.0,2392000000.0
2024-03-31,AAPL,90753000000.0,23636000000.0,,27900000000.0,42271000000.0,337411000000.0,263217000000.0,91831000000.0,32695000000.0,22690000000.0,1996000000.0
2024-06-30,AAPL,85777000000.0,21448000000.0,,25352000000.0,39678000000.0,331612000000.0,264904000000.0,86196000000.0,25565000000.0,28858000000.0,2151000000.0
2024-09-30,AAPL,94930000000.0,14736000000.0,,29591000000.0,43879000000.0,364980000000.0,308030000000.0,85750000000.0,29943000000.0,26811000000.0,2908000000.0
2024-12-31,AAPL,124300000000.0,36330000000.0,,42832000000.0,58275000000.0,344085000000.0,277327000000.0,83956000000.0,30299000000.0,29935000000.0,2940000000.0
