date,symbol,revenue,net_income,eps,operating_income,gross_profit,total_assets,total_liabilities,long_term_debt,cash_and_equivalents,operating_cashflow,capital_expenditures
2022-03-31,AMD,5887000000.0,786000000.0,,951000000.0,2818000000.0,66915000000.0,11582000000.0,1475000000.0,4740000000.0,995000000.0,71000000.0
2022-06-30,AMD,6550000000.0,447000000.0,,526000000.0,3028000000.0,67502000000.0,12333000000.0,2465000000.0,4964000000.0,1038000000.0,132000000.0
2022-09-30,AMD,5565000000.0,66000000.0,,-42000000.0,2354000000.0,67811000000.0,13269000000.0,2466000000.0,3398000000.0,965000000.0,123000000.0
2022-12-31,AMD,5599000000.0,21000000.0,,-117000000.0,2403000000.0,67580000000.0,12830000000.0,2467000000.0,4835000000.0,567000000.0,124000000.0
2023-03-31,AMD,5353000000.0,-139000000.0,,-102000000.0,2359000000.0,67634000000.0,12940000000.0,2467000000.0,3825000000.0,486000000.0,158000000.0
2023-06-30,AMD,5359000000.0,27000000.0,,-20000000.0,2443000000.0,67967000000.0,12831000000.0,1714000000.0,3841000000.0,379000000.0,125000000.0
2023-09-30,AMD,5800000000.0,299000000.0,,224000000.0,2747000000.0,67626000000.0,12656000000.0,1715000000.0,3561000000.0,421000000.0,124000000.0
2023-12-31,AMD,6168000000.0,667000000.0,,342000000.0,2911000000.0,67885000000.0,11993000000.0,1717000000.0,3933000000.0,381000000.0,139000000.0
2024-03-31,AMD,5473000000.0,123000000.0,,36000000.0,2560000000.0,67895000000.0,11697000000.0,1718000000.0,4190000000.0,521000000.0,142000000.0
2024-06-30,AMD,5835000000.0,265000000.0,,269000000.0,2864000000.0,67886000000.0,11348000000.0,1719000000.0,4113000000.0,593000000.0,154000000.0
2024-09-30,AMD,6819000000.0,771000000.0,,724000000.0,3419000000.0,69636000000.0,12651000000.0,1720000000.0,3897000000.0,628000000.0,132000000.0
2024-12-31,AMD,7658000000.0,482000000.0,,871000000.0,3882000000.0,69226000000.0,11658000000.0,1721000000.0,3787000000.0,1299000000.0,208000000.0
