date,symbol,revenue,net_income,eps,operating_income,gross_profit,total_assets,total_liabilities,long_term_debt,cash_and_equivalents,operating_cashflow,capital_expenditures
2022-03-31,ASML,3534400000.0,695300000.0,,784600000.0,1731000000.0,30383834000.0,21529127000.0,3951700000.0,4345846000.0,-593909056.0,243299036.0
2022-06-30,ASML,5430500000.0,1410900000.0,,1653400000.0,2664500000.0,31886213000.0,24243937000.0,4385300000.0,4093113000.0,2687321207.0,236259168.0
2022-09-30,ASML,5778300000.0,1701500000.0,,1938500000.0,2993700000.0,32903677000.0,24924283000.0,3503100000.0,3162428000.0,1213106858.0,373918883.0
2022-12-31,ASML,6430200000.0,1816500000.0,,2124200000.0,3310900000.0,36001408000.0,27263179000.0,3514200000.0,7208434000.0,5350500000.0,453600000.0
2023-03-31,ASML,6746200000.0,1955800000.0,,2205000000.0,3413200000.0,35114292000.0,25337266000.0,3536000000.0,6641400000.0,733600000.0,532000000.0
2023-06-30,ASML,6902300000.0,1941700000.0,,2263000000.0,3544000000.0,36940508000.0,26332160000.0,4517800000.0,6343362000.0,384700000.0,537800000.0
2023-09-30,ASML,6673000000.0,1893400000.0,,2182400000.0,3461600000.0,37665683000.0,25622122000.0,4522300000.0,4995684000.0,1128100000.0,501800000.0
2023-12-31,ASML,7237000000.0,2048100000.0,,2391900000.0,3717300000.0,40109094000.0,26605657000.0,4631500000.0,7031275000.0,3091517013.0,550004949.0
2024-03-31,ASML,5290000000.0,1223800000.0,,1391400000.0,2696600000.0,39235470000.0,25373228000.0,4612000000.0,5125998000.0,-254398728.0,421439415.0
2024-06-30,ASML,6242800000.0,1577900000.0,,1834600000.0,3212200000.0,40686271000.0,25994833000.0,4608200000.0,4807134000.0,930627394.0,532447739.0
2024-09-30,ASML,7467300000.0,2076500000.0,,2441200000.0,3793400000.0,41731271000.0,25593140000.0,4692200000.0,4975148000.0,923534921.0,405376038.0
2024-12-31,ASML,9262800000.0,2693400000.0,,3355400000.0,4789800000.0,48588742393.0,30112268509.0,3677300000.0,12735675211.0,10030079571.0,744503561.0
