date,symbol,revenue,net_income,eps,operating_income,gross_profit,total_assets,total_liabilities,long_term_debt,cash_and_equivalents,operating_cashflow,capital_expenditures
2022-03-31,AVGO,7706000000.0,2472000000.0,,3127000000.0,5049000000.0,73224000000.0,50230000000.0,39205000000.0,10219000000.0,3486000000.0,101000000.0
2022-06-30,AVGO,8103000000.0,2590000000.0,,3413000000.0,5439000000.0,71719000000.0,50729000000.0,39135000000.0,9005000000.0,4243000000.0,85000000.0
2022-09-30,AVGO,8464000000.0,3074000000.0,,3737000000.0,5681000000.0,71326000000.0,50423000000.0,39191000000.0,9977000000.0,4424000000.0,116000000.0
2022-12-31,AVGO,8930000000.0,3359000000.0,,3986000000.0,5926000000.0,73249000000.0,50540000000.0,39075000000.0,12416000000.0,4583000000.0,122000000.0
2023-03-31,AVGO,8915000000.0,3774000000.0,,4103000000.0,6004000000.0,72976000000.0,49666000000.0,38167000000.0,12647000000.0,4036000000.0,103000000.0
2023-06-30,AVGO,8733000000.0,3481000000.0,,4008000000.0,6115000000.0,71667000000.0,49660000000.0,38194000000.0,11553000000.0,4502000000.0,122000000.0
2023-09-30,AVGO,8876000000.0,3303000000.0,,3856000000.0,6164000000.0,71595000000.0,49516000000.0,38222000000.0,12055000000.0,4719000000.0,122000000.0
2023-12-31,AVGO,9295000000.0,3524000000.0,,4240000000.0,6407000000.0,72861000000.0,48873000000.0,37621000000.0,14189000000.0,4828000000.0,105000000.0
2024-03-31,AVGO,11961000000.0,1325000000.0,,2083000000.0,7375000000.0,177870000000.0,107586000000.0,73429000000.0,11864000000.0,4815000000.0,122000000.0
2024-06-30,AVGO,12487000000.0,2121000000.0,,2965000000.0,7776000000.0,175211000000.0,105250000000.0,71569000000.0,9809000000.0,4580000000.0,132000000.0
2024-09-30,AVGO,13072000000.0,-1875000000.0,,3788000000.0,8356000000.0,167966000000.0,102315000000.0,66781000000.0,9952000000.0,4963000000.0,172000000.0
2024-12-31,AVGO,14054000000.0,4324000000.0,,4627000000.0,9002000000.0,165645000000.0,97967000000.0,66282000000.0,9348000000.0,5604000000.0,122000000.0
