date,symbol,revenue,net_income,eps,operating_income,gross_profit,total_assets,total_liabilities,long_term_debt,cash_and_equivalents,operating_cashflow,capital_expenditures
2022-03-31,GOOGL,68011000000.0,16436000000.0,,20094000000.0,38412000000.0,357096000000.0,103092000000.0,14791000000.0,20886000000.0,25106000000.0,9786000000.0
2022-06-30,GOOGL,69685000000.0,16002000000.0,,19453000000.0,39581000000.0,355185000000.0,99766000000.0,12850000000.0,17936000000.0,19422000000.0,6828000000.0
2022-09-30,GOOGL,69092000000.0,13910000000.0,,17135000000.0,37934000000.0,358255000000.0,104629000000.0,14653000000.0,21984000000.0,23353000000.0,7276000000.0
2022-12-31,GOOGL,76048000000.0,13624000000.0,,18160000000.0,40706000000.0,365264000000.0,109120000000.0,12857000000.0,21879000000.0,23614000000.0,7595000000.0
2023-03-31,GOOGL,69787000000.0,15051000000.0,,17415000000.0,39175000000.0,369491000000.0,108597000000.0,13697000000.0,25924000000.0,23509000000.0,6289000000.0
2023-06-30,GOOGL,74604000000.0,18368000000.0,,21838000000.0,42688000000.0,383044000000.0,115903000000.0,13705000000.0,25929000000.0,28666000000.0,6888000000.0
2023-09-30,GOOGL,76693000000.0,19689000000.0,,21343000000.0,43464000000.0,396711000000.0,123509000000.0,13781000000.0,30702000000.0,30656000000.0,8055000000.0
2023-12-31,GOOGL,86310000000.0,20687000000.0,,23697000000.0,48735000000.0,402392000000.0,119013000000.0,11870000000.0,24048000000.0,18915000000.0,11019000000.0
2024-03-31,GOOGL,80539000000.0,23662000000.0,,25472000000.0,46827000000.0,407350000000.0,114506000000.0,11873000000.0,24493000000.0,28848000000.0,12012000000.0
2024-06-30,GOOGL,84742000000.0,23619000000.0,,27425000000.0,49235000000.0,414770000000.0,114017000000.0,11876000000.0,27225000000.0,26640000000.0,13186000000.0
2024-09-30,GOOGL,88268000000.0,26301000000.0,,28521000000.0,51794000000.0,430266000000.0,116147000000.0,10880000000.0,19959000000.0,30698000000.0,13061000000.0
2024-12-31,GOOGL,96469000000.0,26536000000.0,,30972000000.0,55856000000.0,450256000000.0,125172000000.0,10883000000.0,23466000000.0,39113000000.0,14276000000.0
