date,symbol,revenue,net_income,eps,operating_income,gross_profit,total_assets,total_liabilities,long_term_debt,cash_and_equivalents,operating_cashflow,capital_expenditures
2022-03-31,MSFT,49360000000.0,16728000000.0,,20364000000.0,33745000000.0,344607000000.0,181683000000.0,48177000000.0,12498000000.0,25386000000.0,5340000000.0
2022-06-30,MSFT,51865000000.0,16740000000.0,,20534000000.0,35436000000.0,364840000000.0,198298000000.0,47032000000.0,13931000000.0,24629000000.0,6871000000.0
2022-09-30,MSFT,50122000000.0,17556000000.0,,21518000000.0,34670000000.0,359784000000.0,186218000000.0,45374000000.0,22884000000.0,23198000000.0,6283000000.0
2022-12-31,MSFT,52747000000.0,16425000000.0,,20399000000.0,35259000000.0,364552000000.0,181416000000.0,44119000000.0,15646000000.0,11173000000.0,6274000000.0
2023-03-31,MSFT,52857000000.0,18299000000.0,,22352000000.0,36729000000.0,380088000000.0,185405000000.0,41965000000.0,26562000000.0,24441000000.0,6607000000.0
2023-06-30,MSFT,56189000000.0,20081000000.0,,24254000000.0,39394000000.0,411976000000.0,205753000000.0,41990000000.0,34704000000.0,28770000000.0,8943000000.0
2023-09-30,MSFT,56517000000.0,22291000000.0,,26895000000.0,40215000000.0,445785000000.0,225071000000.0,41946000000.0,80452000000.0,30583000000.0,9917000000.0
2023-12-31,MSFT,62020000000.0,21870000000.0,,27032000000.0,42397000000.0,470558000000.0,232290000000.0,44928000000.0,17305000000.0,18853000000.0,9735000000.0
2024-03-31,MSFT,61858000000.0,21939000000.0,,27581000000.0,43353000000.0,484275000000.0,231123000000.0,42658000000.0,19634000000.0,31917000000.0,10952000000.0
2024-06-30,MSFT,64727000000.0,22036000000.0,,27925000000.0,45043000000.0,512163000000.0,243686000000.0,42688000000.0,18315000000.0,37195000000.0,13873000000.0
2024-09-30,MSFT,65585000000.0,24667000000.0,,30552000000.0,45486000000.0,523013000000.0,235290000000.0,42868000000.0,20840000000.0,34180000000.0,14923000000.0
2024-12-31,MSFT,69632000000.0,24108000000.0,,31653000000.0,47833000000.0,533898000000.0,231203000000.0,39722000000.0,17482000000.0,22291000000.0,15804000000.0
