date,symbol,revenue,net_income,eps,operating_income,gross_profit,total_assets,total_liabilities,long_term_debt,cash_and_equivalents,operating_cashflow,capital_expenditures
2022-03-31,NVDA,7643000000.0,3003000000.0,,2970000000.0,4999000000.0,44187000000.0,17575000000.0,10946000000.0,1990000000.0,3033000000.0,273000000.0
2022-06-30,NVDA,8288000000.0,1618000000.0,,1868000000.0,5431000000.0,45212000000.0,18892000000.0,10947000000.0,3887000000.0,1731000000.0,361000000.0
2022-09-30,NVDA,6704000000.0,656000000.0,,499000000.0,2915000000.0,43476000000.0,19625000000.0,9700000000.0,3013000000.0,1270000000.0,433000000.0
2022-12-31,NVDA,5931000000.0,680000000.0,,601000000.0,3177000000.0,40488000000.0,19139000000.0,9701000000.0,2800000000.0,392000000.0,530000000.0
2023-03-31,NVDA,6051000000.0,1414000000.0,,1256000000.0,3833000000.0,41182000000.0,19081000000.0,9703000000.0,3389000000.0,2249000000.0,509000000.0
2023-06-30,NVDA,7192000000.0,2043000000.0,,2140000000.0,4648000000.0,44460000000.0,19940000000.0,9704000000.0,5079000000.0,2911000000.0,248000000.0
2023-09-30,NVDA,13507000000.0,6188000000.0,,6800000000.0,9462000000.0,49555000000.0,22054000000.0,8456000000.0,5783000000.0,6348000000.0,289000000.0
2023-12-31,NVDA,18120000000.0,9243000000.0,,10417000000.0,13400000000.0,54148000000.0,20883000000.0,8457000000.0,5519000000.0,7332000000.0,278000000.0
2024-03-31,NVDA,22103000000.0,12285000000.0,,13614000000.0,16791000000.0,65728000000.0,22750000000.0,8459000000.0,7280000000.0,11499000000.0,254000000.0
2024-06-30,NVDA,26044000000.0,14881000000.0,,16909000000.0,20406000000.0,77072000000.0,27930000000.0,8460000000.0,7587000000.0,15345000000.0,369000000.0
2024-09-30,NVDA,30040000000.0,16599000000.0,,18642000000.0,22574000000.0,85227000000.0,27070000000.0,8461000000.0,8563000000.0,14488000000.0,977000000.0
2024-12-31,NVDA,35082000000.0,19309000000.0,,21869000000.0,26156000000.0,96013000000.0,30114000000.0,8462000000.0,9107000000.0,17627000000.0,813000000.0
