date,symbol,revenue,net_income,eps,operating_income,gross_profit,total_assets,total_liabilities,long_term_debt,cash_and_equivalents,operating_cashflow,capital_expenditures
2022-03-31,TSM,491075873000.0,166232291000.0,,223790118000.0,273203166000.0,3992676667000.0,1671207913000.0,629650000000.0,1151589646000.0,372169688000.0,262717722000.0
2022-06-30,TSM,534140808000.0,237027317000.0,,262123749000.0,315467994000.0,4345941335000.0,1835479210000.0,757208596000.0,1253189197000.0,338849429000.0,220945293000.0
2022-09-30,TSM,613142743000.0,280865780000.0,,310324214000.0,370498717000.0,4643301766000.0,1890985607000.0,845441649000.0,1296012784000.0,412698167000.0,267635828000.0
2022-12-31,TSM,625530000000.0,233625311000.0,,324644923000.0,389183047000.0,4964778878000.0,2004290011000.0,839096486000.0,1342814083000.0,486880000000.0,336800000000.0
2023-03-31,TSM,508632973000.0,233625311000.0,,231238157000.0,286500392000.0,5045844348000.0,1952946750000.0,848638000000.0,1385232810000.0,486880000000.0,336800000000.0
2023-06-30,TSM,480841000000.0,181799000000.0,,201958000000.0,260200000000.0,5149465000000.0,1943997000000.0,901710000000.0,1276724000000.0,167248000000.0,250534000000.0
2023-09-30,TSM,546733000000.0,211000000000.0,,228065000000.0,296643000000.0,5484556381000.0,2111738274000.0,937492473000.0,1311806535000.0,847138000000.0,779657000000.0
2023-12-31,TSM,625529000000.0,238712000000.0,,260205000000.0,331768000000.0,5532371215000.0,2049108368000.0,918282800000.0,1465427753000.0,404331237000.0,124759287000.0
2024-03-31,TSM,592644201000.0,225484877000.0,,249018306000.0,314505269000.0,5787891082000.0,2122174828000.0,965560274000.0,1698195704000.0,436311108000.0,181304802000.0
2024-06-30,TSM,673510177000.0,247845528000.0,,286555542000.0,358124478000.0,5982364014000.0,2162215809000.0,974343663000.0,1799127351000.0,377668210000.0,205674684000.0
2024-09-30,TSM,759692143000.0,325257571000.0,,360766289000.0,439345666000.0,6165660000000.0,2143740000000.0,936160000000.0,1886781000000.0,391992467000.0,207903818000.0
2024-12-31,TSM,868461000000.0,374680000000.0,,425713000000.0,512379000000.0,6691938000000.0,2368362000000.0,926604000000.0,2127627000000.0,620205000000.0,361949000000.0
