date,symbol,revenue,net_income,eps,operating_income,gross_profit,total_assets,total_liabilities,long_term_debt,cash_and_equivalents,operating_cashflow,capital_expenditures
2022-03-31,TXN,4905000000.0,2201000000.0,,2563000000.0,3442000000.0,25276000000.0,11259000000.0,7242000000.0,3505000000.0,2144000000.0,443000000.0
2022-06-30,TXN,5212000000.0,2291000000.0,,2723000000.0,3625000000.0,24723000000.0,10631000000.0,6745000000.0,3802000000.0,1768000000.0,597000000.0
2022-09-30,TXN,5241000000.0,2295000000.0,,2678000000.0,3617000000.0,26057000000.0,11550000000.0,7438000000.0,3169000000.0,2766000000.0,790000000.0
2022-12-31,TXN,4670000000.0,1962000000.0,,2176000000.0,3087000000.0,27207000000.0,12630000000.0,8235000000.0,3050000000.0,2042000000.0,967000000.0
2023-03-31,TXN,4379000000.0,1708000000.0,,1934000000.0,2863000000.0,29220000000.0,13977000000.0,9626000000.0,4477000000.0,1160000000.0,982000000.0
2023-06-30,TXN,4531000000.0,1722000000.0,,1972000000.0,2910000000.0,30939000000.0,14999000000.0,10920000000.0,3439000000.0,1399000000.0,1446000000.0
2023-09-30,TXN,4532000000.0,1709000000.0,,1892000000.0,2815000000.0,31638000000.0,15007000000.0,10922000000.0,2566000000.0,1937000000.0,1495000000.0
2023-12-31,TXN,4077000000.0,1371000000.0,,1533000000.0,2431000000.0,32348000000.0,15451000000.0,10624000000.0,2964000000.0,1924000000.0,1148000000.0
2024-03-31,TXN,3661000000.0,1105000000.0,,1286000000.0,2095000000.0,34885000000.0,17902000000.0,12840000000.0,2483000000.0,1017000000.0,1248000000.0
2024-06-30,TXN,3822000000.0,1127000000.0,,1248000000.0,2211000000.0,35048000000.0,17834000000.0,12842000000.0,2740000000.0,1571000000.0,1064000000.0
2024-09-30,TXN,4151000000.0,1362000000.0,,1554000000.0,2474000000.0,35321000000.0,18053000000.0,12844000000.0,2589000000.0,1732000000.0,1316000000.0
2024-12-31,TXN,4007000000.0,1205000000.0,,1377000000.0,2314000000.0,35509000000.0,18606000000.0,12846000000.0,3200000000.0,1998000000.0,1192000000.0
