company,topic,title,url,source,author,published_at,published_date,description,content
ASML,,ASML Holding: China Equipment Ban May Be Immaterial - Why We Remain Bullish,https://seekingalpha.com/article/4566765-asml-china-equipment-ban-may-be-immaterial-why-we-remain-bullish,seekingalpha.com,,2022-12-30T20:00:00Z,2022-12-30,The recent development in the Chips and equipment ban may put a decade's gap between the world's production capability and that of China. Read more here.,The recent development in the Chips and equipment ban may put a decade's gap between the world's production capability and that of China. Read more here.
ASML,,CEO resolutions: TSMC’s Wei cannot afford to relax after record year,https://www.ft.com/content/70c4b379-6562-4c77-b89c-69c6de5f4ddc,ft.com,,2022-12-30T18:00:06Z,2022-12-30,Semiconductor chief will need bold New Year resolutions as he heads into a tough 2023,Semiconductor chief will need bold New Year resolutions as he heads into a tough 2023
ASML,,GP Bullhound — thoughts for the year ahead,https://bullhoundjenny.medium.com/gp-bullhound-thoughts-for-the-year-ahead-b30e80e5f1f3,medium.com,,2022-12-30T13:13:49Z,2022-12-30,"As a final letter for the year, we look ahead to 2023 — what to expect in tech, and how we’re positioned in the portfolio: Despite market volatility, fundam...","As a final letter for the year, we look ahead to 2023 — what to expect in tech, and how we’re positioned in the portfolio: Despite market volatility, fundam..."
ASML,,Tracking Philippe Laffont's Coatue Management Portfolio - Q3 2022 Update,https://seekingalpha.com/article/4567021-tracking-philippe-laffonts-coatue-management-portfolio-q3-2022-update,seekingalpha.com,,2022-12-30T06:06:15Z,2022-12-30,Philippe Laffont’s 13F portfolio value increased from $8.26B to $8.61B this quarter. Click here to read an update on the portfolio's trades for Q3 2022.,Philippe Laffont’s 13F portfolio value increased from $8.26B to $8.61B this quarter. Click here to read an update on the portfolio's trades for Q3 2022.
ASML,,Top Heavy: Countries by Share of the Global Economy,https://www.visualcapitalist.com/countries-by-share-of-global-economy/,visualcapitalist.com,,2022-12-29T17:53:47Z,2022-12-29,Just five countries make up more than half of the global economy. The top 25 countries make up a staggering 84% of the world's GDP.,Just five countries make up more than half of the global economy. The top 25 countries make up a staggering 84% of the world's GDP.
ASML,,"US Stocks Poised For Higher Open But Analyst Says 'Exhausted' Market Looking To End 2022 Without 'Further Meaningful Losses' - Invesco QQQ Trust, Series 1 (NASDAQ:QQQ), SPDR S&P 500 (ARCA:SPY)",https://www.benzinga.com/economics/macro-economic-events/22/12/30223872/us-stocks-poised-for-higher-open-but-analyst-says-exhausted-market-looking-to-end,benzinga.com,,2022-12-29T11:13:29Z,2022-12-29,"U.S. index futures were solidly pointing to a higher open by Wall Street stocks on Thursday, which happens to be the penultimate trading session of the year.","U.S. index futures were solidly pointing to a higher open by Wall Street stocks on Thursday, which happens to be the penultimate trading session of the year."
ASML,,Companies on Morningstar's List of Best Tech Stocks,https://www.thestreet.com/investing/stocks/companies-on-morningstars-list-of-best-tech-stocks,thestreet.com,,2022-12-28T21:19:01Z,2022-12-28,"Some technology companies 'have been able to carve out pockets of stability,' Morningstar says.","Some technology companies 'have been able to carve out pockets of stability,' Morningstar says."
ASML,,Companies on Morningstar's List of Best Tech Stocks,https://www.thestreet.com/investing/stocks/companies-on-morningstars-list-of-best-tech-stocks?puc=yahoo&cm_ven=YAHOO&yptr=yahoo,finance.yahoo.com,,2022-12-28T21:19:00Z,2022-12-28,"Some technology companies 'have been able to carve out pockets of stability,' Morningstar says.","Some technology companies 'have been able to carve out pockets of stability,' Morningstar says."
ASML,,Intervest Offices & Warehouses nv announces lease extension,https://www.marketscreener.com/quote/stock/INTERVEST-OFFICES-WAREH-9426804/news/Intervest-Offices-Warehouses-nv-announces-lease-extension-42628615/,marketscreener.com,,2022-12-28T17:01:02Z,2022-12-28,"Intervest extends lease with ASML for Silver Forum, a site located on the premises of Eindhoven Airport  With this 10-year lease extension, one year before the ...","Intervest extends lease with ASML for Silver Forum, a site located on the premises of Eindhoven Airport  With this 10-year lease extension, one year before the ..."
ASML,,Intervest Offices & Warehouses nv kondigt verlenging huurcontract aan,https://www.globenewswire.com/news-release/2022/12/28/2580352/0/nl/Intervest-Offices-Warehouses-nv-kondigt-verlenging-huurcontract-aan.html,globenewswire.com,,2022-12-28T17:00:00Z,2022-12-28,"Intervest verlengt huurcontract met ASML voor Silver Forum, een site gelegen op het terrein van Eindhoven Airport  Met deze 10-jarige huurverlenging, een...","Intervest verlengt huurcontract met ASML voor Silver Forum, een site gelegen op het terrein van Eindhoven Airport  Met deze 10-jarige huurverlenging, een..."
