date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-01-03,177.83,182.88,177.71,182.01,178.288644786903,104701220,0.0,1.0
2022-01-04,182.63,182.94,179.12,179.7,176.025874777246,99310438,0.0,1.0
2022-01-05,179.61,180.17,174.64,174.92,171.343606099253,94537602,0.0,1.0
2022-01-06,172.7,175.3,171.64,172.0,168.483308078388,96903955,0.0,1.0
2022-01-07,172.89,174.14,171.03,172.17,168.649832278233,86709147,0.0,1.0
2022-01-10,169.08,172.5,168.17,172.19,168.669423360567,106765552,0.0,1.0
2022-01-11,172.32,175.18,170.82,175.08,171.500334757931,75937685,0.0,1.0
2022-01-12,176.12,177.18,174.82,175.53,171.941134110462,74805173,0.0,1.0
2022-01-13,175.78,176.62,171.79,172.19,168.669423360567,84505760,0.0,1.0
2022-01-14,171.34,173.78,171.09,173.07,169.531430983294,80440780,0.0,1.0
2022-01-18,171.51,172.54,169.405,169.8,166.328289021571,90500236,0.0,1.0
2022-01-19,170.0,171.08,165.94,166.23,162.831280824828,92914792,0.0,1.0
2022-01-20,166.98,169.68,164.18,164.51,161.146447744044,91420515,0.0,1.0
2022-01-21,164.415,166.33,162.3,162.41,159.089384098901,122848858,0.0,1.0
2022-01-24,160.02,162.3,154.7,161.62,158.31553634668,162706686,0.0,1.0
2022-01-25,158.98,162.76,157.02,159.78,156.513156771888,115798367,0.0,1.0
2022-01-26,163.5,164.3894,157.82,159.69,156.424996901382,108275308,0.0,1.0
2022-01-27,162.45,163.84,158.28,159.22,155.964606466517,121954638,0.0,1.0
2022-01-28,165.71,170.35,162.8,170.33,166.847452703441,179935660,0.0,1.0
2022-01-31,170.16,175.0,169.51,174.78,171.20646852291,115541590,0.0,1.0
2022-02-01,174.01,174.84,172.31,174.61,171.039944323066,86213911,0.0,1.0
2022-02-02,174.745,175.88,173.33,175.84,172.244795886649,84914256,0.0,1.0
2022-02-03,174.48,176.2399,172.12,172.9,169.364906783449,89418074,0.0,1.0
2022-02-04,171.68,174.1,170.68,172.39,169.080836089596,82465400,0.22,1.0
2022-02-07,172.86,173.9458,170.95,171.66,168.364849023377,77251204,0.0,1.0
2022-02-08,171.73,175.35,171.43,174.83,171.473998338326,74829217,0.0,1.0
2022-02-09,176.05,176.65,174.9,176.28,172.89616442876,71285038,0.0,1.0
2022-02-10,174.14,175.48,171.55,172.12,168.816018955515,90865899,0.0,1.0
2022-02-11,172.33,173.08,168.04,168.64,165.402820338474,98670687,0.0,1.0
2022-02-14,167.37,169.58,166.56,168.88,165.638213346545,86185530,0.0,1.0
2022-02-15,170.97,172.95,170.25,172.79,169.473157769716,64286320,0.0,1.0
2022-02-16,171.85,173.34,170.05,172.55,169.237764761644,61177398,0.0,1.0
2022-02-17,171.03,171.91,168.47,168.88,165.638213346545,69589344,0.0,1.0
2022-02-18,169.82,170.5413,166.19,167.3,164.088542710072,82772674,0.0,1.0
2022-02-22,164.98,166.69,162.15,164.32,161.165746193181,90457637,0.0,1.0
2022-02-23,165.54,166.15,159.75,160.07,156.997328341909,90009247,0.0,1.0
2022-02-24,152.58,162.85,152.0,162.74,159.616075556708,141147540,0.0,1.0
2022-02-25,163.84,165.12,160.8738,164.85,161.685572419339,91974222,0.0,1.0
2022-02-28,163.06,165.42,162.43,165.12,161.95038955342,95056629,0.0,1.0
2022-03-01,164.695,166.6,161.97,163.2,160.067245488845,83474425,0.0,1.0
2022-03-02,164.39,167.36,162.95,166.56,163.362747601851,79724750,0.0,1.0
2022-03-03,168.47,168.91,165.55,166.23,163.039082215752,76678441,0.0,1.0
2022-03-04,164.49,165.55,162.1,163.17,160.037821362836,83819592,0.0,1.0
2022-03-07,163.36,165.02,159.04,159.3,156.242109107678,96418845,0.0,1.0
2022-03-08,158.82,162.88,155.8,157.44,154.417813295121,131148280,0.0,1.0
2022-03-09,161.475,163.41,159.41,162.95,159.82204443877,91454905,0.0,1.0
2022-03-10,160.2,160.39,155.98,158.52,155.477081831445,105342033,0.0,1.0
2022-03-11,158.93,159.28,154.5,154.73,151.75983391231,96970102,0.0,1.0
2022-03-14,151.45,154.12,150.1,150.62,147.72872864908,108732111,0.0,1.0
2022-03-15,150.9,155.57,150.38,155.09,152.112923424418,92964302,0.0,1.0
2022-03-16,157.05,160.0,154.46,159.59,156.526542325765,102300157,0.0,1.0
2022-03-17,158.61,161.0,157.63,160.62,157.536770652073,75615376,0.0,1.0
2022-03-18,160.51,164.48,159.76,163.98,160.832272765079,122055535,0.0,1.0
2022-03-21,163.51,166.35,163.015,165.38,162.205398645498,89029269,0.0,1.0
2022-03-22,165.51,169.42,164.91,168.82,165.579365094527,80979755,0.0,1.0
2022-03-23,167.99,172.64,167.65,170.21,166.942682932943,98062674,0.0,1.0
2022-03-24,171.06,174.14,170.21,174.07,170.728587146099,90131418,0.0,1.0
2022-03-25,173.88,175.28,172.75,174.72,171.366109876293,80281664,0.0,1.0
2022-03-28,172.17,175.73,172.0,175.6,172.229217572557,90371916,0.0,1.0
2022-03-29,176.69,179.01,176.34,178.96,175.524719685562,100589440,0.0,1.0
2022-03-30,178.55,179.61,176.7,177.77,174.357562687206,92633154,0.0,1.0
2022-03-31,177.84,178.03,174.4,174.61,171.25822141426,103049285,0.0,1.0
2022-04-01,174.03,174.88,171.94,174.31,170.963980154171,78751328,0.0,1.0
2022-04-04,174.57,178.49,174.44,178.44,175.014701501407,76545983,0.0,1.0
2022-04-05,177.5,178.3,174.415,175.06,171.699583304395,70902999,0.0,1.0
2022-04-06,172.36,173.63,170.13,171.83,168.531585737428,89058782,0.0,1.0
2022-04-07,171.16,173.36,169.85,172.14,168.835635039521,77594650,0.0,1.0
2022-04-08,171.78,171.78,169.2,170.09,166.824986428907,76575508,0.0,1.0
2022-04-11,168.71,169.03,165.5,165.75,162.568296199609,72246706,0.0,1.0
2022-04-12,168.02,169.87,166.64,167.66,164.44163222218,79265181,0.0,1.0
2022-04-13,167.39,171.04,166.77,170.4,167.129035731,70618925,0.0,1.0
2022-04-14,170.62,171.27,165.04,165.29,162.117126267471,75329376,0.0,1.0
2022-04-18,163.92,166.5984,163.57,165.07,161.901349343405,69023941,0.0,1.0
2022-04-19,165.02,167.82,163.91,167.4,164.186623130102,67723833,0.0,1.0
2022-04-20,168.76,168.88,166.1,167.23,164.019886416051,67718110,0.0,1.0
2022-04-21,168.91,171.53,165.91,166.42,163.225435013809,87227768,0.0,1.0
2022-04-22,166.46,167.8699,161.5,161.79,158.684311566423,84882424,0.0,1.0
2022-04-25,161.12,163.17,158.46,162.88,159.75338814475,96046376,0.0,1.0
2022-04-26,162.25,162.34,156.72,156.8,153.79009860693,94008394,0.0,1.0
2022-04-27,155.91,159.79,155.38,156.57,153.564513640861,88063191,0.0,1.0
2022-04-28,159.25,164.515,158.93,163.64,160.498799336977,130216792,0.0,1.0
2022-04-29,161.84,166.2,157.25,157.65,154.623782177184,131747571,0.0,1.0
2022-05-02,156.71,158.23,153.27,157.96,154.927831479277,123055265,0.0,1.0
2022-05-03,158.15,160.71,156.32,159.48,156.418653863732,88966526,0.0,1.0
2022-05-04,159.67,166.48,159.26,166.02,162.833113333689,107521649,0.0,1.0
2022-05-05,163.85,164.08,154.95,156.77,153.760674480921,130525275,0.0,1.0
2022-05-06,156.01,159.44,154.18,157.28,154.486469589142,116124647,0.23,1.0
2022-05-09,154.925,155.83,151.49,152.06,149.359184675261,131577921,0.0,1.0
2022-05-10,155.52,156.74,152.93,154.51,151.765668973922,115366736,0.0,1.0
2022-05-11,153.5,155.45,145.81,146.5,143.897938675034,142689825,0.0,1.0
