date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-01-03,666.317,671.7,661.22,663.32,61.5565142072927,2259950,0.0,1.0
2022-01-04,662.875,672.1862,657.225,670.92,62.2617989989098,2110277,0.0,1.0
2022-01-05,671.21,671.21,642.01,643.0,59.6708053960218,3496111,0.0,1.0
2022-01-06,640.16,648.65,634.43,637.03,59.1167856320805,2858130,0.0,1.0
2022-01-07,635.85,639.91,618.46,619.15,57.457510359171,2783173,0.0,1.0
2022-01-10,608.86,622.04,603.57,621.16,57.6440396264276,2979338,0.0,1.0
2022-01-11,615.54,628.0,614.57,622.05,57.7266321875511,1902738,0.0,1.0
2022-01-12,627.51,630.99,619.74,622.0,57.7219921560273,1880639,0.0,1.0
2022-01-13,627.47,627.88,594.15,597.19,55.4196085139196,3004792,0.0,1.0
2022-01-14,595.78,600.38,592.0,596.37,55.3435119969293,2566283,0.0,1.0
2022-01-18,588.32,591.04,575.99,577.79,53.6192762826866,3569452,0.0,1.0
2022-01-19,581.58,584.73,563.33,563.97,52.3367715695092,2251167,0.0,1.0
2022-01-20,568.0,570.14,546.77,547.72,50.8287613242754,2522478,0.0,1.0
2022-01-21,546.64,555.4,531.34,533.23,49.4840801886792,3801047,0.0,1.0
2022-01-24,530.89,543.51,513.4,541.58,50.2589654531532,5426724,0.0,1.0
2022-01-25,528.0,545.4,524.22,534.14,49.5685287624123,3815824,0.0,1.0
2022-01-26,552.0,574.17,550.07,557.12,51.7010872507491,4971487,0.0,1.0
2022-01-27,569.72,570.255,541.025,542.31,50.3267099134006,3420955,0.0,1.0
2022-01-28,543.36,560.5,532.39,560.1,51.9776331295674,3025363,0.0,1.0
2022-01-31,559.4,586.37,556.0,585.88,54.3700333832368,4028846,0.0,1.0
2022-02-01,585.87,593.9,575.8228,592.72,55.0047896956922,2571948,0.0,1.0
2022-02-02,599.0,604.8,593.631,603.43,55.9986844480894,2444338,0.0,1.0
2022-02-03,595.67,599.02,580.12,580.85,53.9032462119429,3060176,0.0,1.0
2022-02-04,576.38,596.53,576.14,590.16,54.7672200816738,2054844,0.0,1.0
2022-02-07,590.16,601.58,584.16,587.63,54.5324344865697,1867302,0.0,1.0
2022-02-08,588.38,601.85,586.99,600.22,55.7007944242616,1457174,0.0,1.0
2022-02-09,607.3527,611.72,601.56,611.34,56.732737435154,2200361,0.0,1.0
2022-02-10,595.3,614.64,588.57,591.36,54.8785808382449,2491954,0.0,1.0
2022-02-11,591.36,599.76,569.075,573.42,53.2137375275068,2728064,0.0,1.0
2022-02-14,575.0,582.8117,570.07,578.58,53.6925887807625,1929091,0.0,1.0
2022-02-15,589.03,606.039,588.25,602.77,55.9374360319753,3428437,0.0,1.0
2022-02-16,594.06,600.81,587.22,597.21,55.4214645265291,2293143,0.0,1.0
2022-02-17,589.7,591.58,578.89,579.0,53.7315650455624,2142434,0.0,1.0
2022-02-18,580.94,587.74,573.28,579.99,53.8234376697336,1970772,0.0,1.0
2022-02-22,579.99,590.21,569.81,577.46,53.5886520746295,1999184,0.0,1.0
2022-02-23,580.23,585.07,564.74,565.19,52.4499883386899,2241646,0.0,1.0
2022-02-24,551.58,585.69,549.02,580.0,53.8243656760384,3531619,0.0,1.0
2022-02-25,579.83,589.38,574.0,588.01,54.5676987261506,2238003,0.0,1.0
2022-02-28,581.0,592.3,576.38,587.44,54.5148023667793,2500487,0.0,1.0
2022-03-01,584.79,587.62,565.3,570.12,52.9074954469362,2489810,0.0,1.0
2022-03-02,574.52,590.53,573.58,585.78,54.3607533201892,2177131,0.0,1.0
2022-03-03,593.68,593.7,574.33,578.6,53.6944447933721,2645397,0.0,1.0
2022-03-04,592.79,605.91,584.01,595.99,55.3082477573485,4476193,0.0,1.0
2022-03-07,597.08,598.78,570.0,570.7,52.9613198126122,2649363,0.0,1.0
2022-03-08,572.17,596.05,563.61,575.95,53.4485231226109,2699261,0.0,1.0
2022-03-09,588.79,601.635,587.0,597.02,55.4038324067387,2256049,0.0,1.0
2022-03-10,585.56,590.02,576.37,587.73,54.5417145496173,1932364,0.0,1.0
2022-03-11,592.0,594.4299,577.12,577.85,53.6248443205151,1981534,0.0,1.0
2022-03-14,576.96,579.98,564.75,567.8,52.692197984232,2523390,0.0,1.0
2022-03-15,577.27,596.76,575.04,592.76,55.0085017209112,2825988,0.0,1.0
2022-03-16,596.65,607.705,584.06,607.12,56.3411187745455,2945372,0.0,1.0
2022-03-17,604.72,607.0,597.63,602.67,55.9281559689277,1817402,0.0,1.0
2022-03-18,603.97,613.21,595.99,610.41,56.6464328488113,3935581,0.0,1.0
2022-03-21,605.6,605.6,588.86,601.29,56.1805736838222,2535231,4.1,1.0
2022-03-22,601.72,613.5,599.33,611.34,57.1195794306705,1870886,0.0,1.0
2022-03-23,608.0,611.37,599.16,599.38,56.0021158752172,1383886,0.0,1.0
2022-03-24,606.63,627.2169,602.0,626.43,58.5294895520576,2601580,0.0,1.0
2022-03-25,627.08,630.405,620.065,628.87,58.7574670667153,1449153,0.0,1.0
2022-03-28,625.88,633.3,615.78,632.88,59.1321350313782,1442861,0.0,1.0
2022-03-29,640.0,645.31,630.0,641.47,59.9347280030624,2300138,0.0,1.0
2022-03-30,638.87,644.29,627.33,631.09,58.9648892316908,1862620,0.0,1.0
2022-03-31,630.48,638.9999,628.05,629.68,58.8331481269091,2173051,0.0,1.0
2022-04-01,631.69,634.57,618.69,626.98,58.5808779262633,1626685,0.0,1.0
2022-04-04,626.425,636.72,624.515,634.85,59.316198844442,1648573,0.0,1.0
2022-04-05,629.55,632.2639,613.0,614.12,57.379324303928,1941536,0.0,1.0
2022-04-06,602.08,611.59,593.77,602.0,56.2469114032513,2374237,0.0,1.0
2022-04-07,599.83,607.6437,593.24,603.05,56.3450164812802,1658333,0.0,1.0
2022-04-08,597.38,598.59,585.97,587.0,54.8454102885523,2046397,0.0,1.0
2022-04-11,582.58,589.28,579.43,580.61,54.2483708136906,2351240,0.0,1.0
2022-04-12,589.11,598.585,582.17,585.07,54.6650838117944,1734993,0.0,1.0
2022-04-13,588.5,596.71,586.05,592.54,55.3630313669145,2026760,0.0,1.0
2022-04-14,594.99,597.06,572.86,573.85,53.6167609779996,2738471,0.0,1.0
2022-04-18,572.85,591.22,572.85,586.5,54.798693584729,2137453,0.0,1.0
2022-04-19,579.36,598.695,579.36,597.62,55.8376730777592,1658242,0.0,1.0
2022-04-20,604.2,613.43,595.13,597.72,55.8470164185238,1389280,0.0,1.0
2022-04-21,605.54,615.87,590.66,592.73,55.3807837143673,2035211,0.0,1.0
2022-04-22,590.11,598.74,586.26,586.95,54.84073861817,2106519,0.0,1.0
2022-04-25,581.49,588.76,571.12,587.88,54.9276316872813,2695907,0.0,1.0
2022-04-26,583.8,585.46,559.71,560.07,52.3292486206295,3542956,0.0,1.0
2022-04-27,555.79,570.075,555.0,559.54,52.2797289145768,1931324,0.0,1.0
2022-04-28,565.94,585.02,557.97,578.94,54.0923370229208,2233400,0.0,1.0
2022-04-29,572.62,578.2806,553.395,554.39,51.7985468651968,2611006,0.0,1.0
2022-05-02,557.14,577.64,556.38,576.35,53.8503444971161,2672471,0.0,1.0
2022-05-03,576.01,586.75,571.7666,581.17,54.3006935219727,1706449,0.0,1.0
2022-05-04,581.79,604.07,573.98,603.66,56.4020108599446,2342000,0.0,1.0
2022-05-05,594.23,597.865,574.285,579.99,54.1904421009497,3280649,0.0,1.0
2022-05-06,574.94,589.98,569.43,580.1,54.2007197757908,2074700,0.0,1.0
2022-05-09,572.88,578.0,560.27,562.92,52.5955338324223,3007388,0.0,1.0
2022-05-10,580.49,591.15,571.8,581.39,54.3212488716549,2927311,0.0,1.0
2022-05-11,574.58,584.69,565.86,567.11,52.9870198104615,2665951,0.0,1.0
2022-05-12,563.4,573.61,558.26,571.57,53.4037328085653,2551775,0.0,1.0
