date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-01-03,335.35,338.0,329.78,334.75,324.490253342896,28918013,0.0,1.0
2022-01-04,334.83,335.2,326.12,329.01,318.926178498421,32674306,0.0,1.0
2022-01-05,325.86,326.07,315.98,316.38,306.683275138538,40054327,0.0,1.0
2022-01-06,313.15,318.7,311.49,313.88,304.259897593035,39646148,0.0,1.0
2022-01-07,314.15,316.5,310.09,314.04,304.414993755947,32720018,0.0,1.0
2022-01-10,309.485,314.72,304.69,314.27,304.637944490133,44289467,0.0,1.0
2022-01-11,313.38,316.61,309.89,314.98,305.326183713056,29267314,0.0,1.0
2022-01-12,319.67,323.41,317.08,318.27,308.515348562939,34372217,0.0,1.0
2022-01-13,320.4658,320.88,304.0,304.8,295.458190347767,45365979,0.0,1.0
2022-01-14,304.25,310.82,303.75,310.2,300.692685846054,39846414,0.0,1.0
2022-01-18,304.07,309.8,301.74,302.65,293.374085658634,41717982,0.0,1.0
2022-01-19,306.29,313.9093,302.7,303.33,294.033244351011,45485618,0.0,1.0
2022-01-20,309.07,311.6494,301.14,301.6,292.356267089522,35380675,0.0,1.0
2022-01-21,302.685,304.11,295.61,296.03,286.956981918141,57984403,0.0,1.0
2022-01-24,292.2,297.11,276.05,296.37,287.286561264329,86035393,0.0,1.0
2022-01-25,291.52,294.99,285.17,288.49,279.648075240903,72848638,0.0,1.0
2022-01-26,307.985,308.5,293.03,296.71,287.616140610518,90428853,0.0,1.0
2022-01-27,302.66,307.3,297.93,299.84,290.650209297488,53481317,0.0,1.0
2022-01-28,300.23,308.48,294.45,308.26,298.812144870743,49743698,0.0,1.0
2022-01-31,308.95,312.38,306.37,310.98,301.448779640251,46444536,0.0,1.0
2022-02-01,310.41,310.63,305.1293,308.76,299.296820379844,40950396,0.0,1.0
2022-02-02,309.63,315.12,308.88,313.46,303.85277016539,36635989,0.0,1.0
2022-02-03,309.49,311.23,299.96,301.25,292.016994233152,43729972,0.0,1.0
2022-02-04,300.21,308.8,299.97,305.94,296.563250508516,35096488,0.0,1.0
