date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-01-03,182.91,186.88,182.24,186.21,171.208142482897,6004749,0.0,1.0
2022-01-04,187.0,188.93,181.01,187.23,172.145967010755,8484173,0.0,1.0
2022-01-05,186.5,193.58,184.73,186.5,171.474778868268,17141233,0.0,1.0
2022-01-06,184.52,188.47,183.0,185.95,170.969089171874,9117654,0.0,1.0
2022-01-07,186.6,188.3582,180.12,180.41,165.875414775465,7386150,0.0,1.0
2022-01-10,178.27,180.0,173.76,179.68,165.204226632978,11159272,0.0,1.0
2022-01-11,179.19,185.65,177.22,185.4,170.463399475479,9534066,0.0,1.0
2022-01-12,186.6,189.46,185.1852,186.42,171.401224003338,7317544,0.0,1.0
2022-01-13,188.7,191.58,183.285,183.89,169.075051399924,10190897,0.0,1.0
2022-01-14,182.8,190.09,182.01,188.69,173.488343295729,9587265,0.0,1.0
2022-01-18,185.87,186.0,178.27,178.86,164.450289267445,10385929,0.0,1.0
2022-01-19,180.57,181.2099,172.27,172.47,158.575094431154,9771473,0.0,1.0
2022-01-20,174.53,174.99,166.29,166.5,153.086062635746,9468486,0.0,1.0
2022-01-21,166.24,172.04,164.57,164.93,151.642548411493,11898689,0.0,1.0
2022-01-24,162.18,170.82,158.6037,170.07,156.368448483251,17531650,0.0,1.0
2022-01-25,166.17,170.32,161.2,165.45,152.120655033539,10708458,0.0,1.0
2022-01-26,168.58,174.55,163.9,167.0,153.545780541559,10492244,0.0,1.0
2022-01-27,169.31,171.45,160.61,161.2,148.213052834128,10743021,0.0,1.0
2022-01-28,162.01,166.94,157.38,166.81,153.37108773735,10320821,0.0,1.0
2022-01-31,167.06,175.95,165.8,175.76,161.600038251404,11273469,0.0,1.0
2022-02-01,176.4447,177.4292,173.105,177.13,162.859665313332,9724551,0.0,1.0
2022-02-02,180.94,188.64,180.26,188.2,173.037819748032,25646261,0.0,1.0
2022-02-03,180.8,192.1,177.29,179.1,164.670953862235,36120199,0.0,1.0
2022-02-04,178.99,182.41,176.81,179.47,165.011145112537,15708355,0.0,1.0
2022-02-07,179.6652,180.65,174.44,175.09,160.984016257614,10376345,0.0,1.0
2022-02-08,174.305,179.2899,173.98,178.59,164.202041598306,10163943,0.0,1.0
2022-02-09,181.4,184.0,178.95,183.95,169.130217548622,9666910,0.0,1.0
2022-02-10,179.4,181.99,173.45,174.07,160.046191729756,14362161,0.0,1.0
2022-02-11,174.7,175.48,163.55,164.64,151.375912026121,13572008,0.0,1.0
2022-02-14,165.35,167.85,162.48,165.13,151.826435573818,8381702,0.0,1.0
2022-02-15,169.0,173.96,168.25,173.0,159.062395411316,11103156,0.0,1.0
2022-02-16,170.68,173.2083,168.26,172.6,158.694621086665,8340579,0.0,1.0
2022-02-17,169.875,170.77,166.7,166.8,153.361893379234,8878864,0.0,1.0
2022-02-18,167.4701,170.445,164.24,167.64,154.134219461,9591679,0.0,1.0
2022-02-22,164.0589,169.96,163.6,165.89,152.525206790654,9812438,0.0,1.0
2022-02-23,166.65,169.16,161.32,161.62,148.599215875011,9748987,0.0,1.0
2022-02-24,156.89,168.36,155.79,167.98,154.446827636953,12566983,0.0,1.0
2022-02-25,167.61,171.09,165.6,170.93,157.15916328125,7350249,0.0,1.0
2022-02-28,168.3,172.99,168.2,171.99,158.133765241573,10638866,0.0,1.0
2022-03-01,170.96,171.84,161.72,163.69,150.502448005077,10723339,0.0,1.0
2022-03-02,165.25,170.49,164.35,169.25,156.239727469624,7299414,0.68,1.0
2022-03-03,170.67,170.825,164.5,165.35,152.639521046394,8553861,0.0,1.0
2022-03-04,163.85,166.07,159.89,162.26,149.787049803374,9059191,0.0,1.0
2022-03-07,162.32,163.16,150.0,150.1,138.561790801716,13416095,0.0,1.0
2022-03-08,150.66,158.34,147.88,150.76,139.171056504109,11878441,0.0,1.0
2022-03-09,156.01,158.48,154.17,157.11,145.032931065008,9276774,0.0,1.0
2022-03-10,154.04,155.3,150.33,154.71,142.817419419944,8888772,0.0,1.0
2022-03-11,157.95,158.32,152.02,152.34,140.629601670443,7394419,0.0,1.0
2022-03-14,150.8,151.29,140.465,141.29,130.429016804627,16154168,0.0,1.0
2022-03-15,142.5,144.43,139.05,144.21,133.124555972788,13892973,0.0,1.0
2022-03-16,146.965,151.56,143.57,150.45,138.884886249955,11727728,0.0,1.0
2022-03-17,149.19,152.94,146.58,152.83,141.081935297977,8602938,0.0,1.0
2022-03-18,152.52,156.03,149.01,153.99,142.152765926424,17850951,0.0,1.0
2022-03-21,153.99,157.71,152.81,155.59,143.6297736898,8817193,0.0,1.0
2022-03-22,155.45,159.94,154.77,157.61,145.494495991063,7184803,0.0,1.0
2022-03-23,156.11,157.21,152.58,152.87,141.118860492061,7245568,0.0,1.0
2022-03-24,154.3,158.56,153.59,158.46,146.279156365356,9261010,0.0,1.0
2022-03-25,157.97,158.46,155.18,157.97,145.826822737822,7187997,0.0,1.0
2022-03-28,156.5,158.5,154.05,158.45,146.269925066835,9470796,0.0,1.0
2022-03-29,161.21,161.3,156.65,161.07,148.688525279363,10212363,0.0,1.0
2022-03-30,159.39,160.27,151.79,152.73,140.989622312766,14777761,0.0,1.0
2022-03-31,152.885,155.14,151.03,152.82,141.072703999456,13364239,0.0,1.0
2022-04-01,151.94,152.87,142.5648,146.99,135.690856961654,19762138,0.0,1.0
2022-04-04,147.74,154.13,146.66,153.81,141.986602553045,12143570,0.0,1.0
2022-04-05,151.81,152.01,145.27,145.46,134.278468287926,15427104,0.0,1.0
2022-04-06,142.9,143.0,137.46,139.28,128.573525801886,21054221,0.0,1.0
2022-04-07,139.79,141.49,136.92,139.22,128.518138010759,10201205,0.0,1.0
2022-04-08,138.54,139.96,136.36,136.69,126.182619484921,12992458,0.0,1.0
2022-04-11,134.292,137.61,133.69,135.36,124.954856781614,11210358,0.0,1.0
2022-04-12,137.92,140.16,135.5,136.09,125.628741573655,10591330,0.0,1.0
2022-04-13,137.54,142.59,136.48,140.5,129.69974422146,10440839,0.0,1.0
2022-04-14,141.05,141.56,136.68,136.91,126.385708052385,8002591,0.0,1.0
2022-04-18,135.62,140.35,135.56,139.32,128.61045099597,8785714,0.0,1.0
2022-04-19,138.83,141.4,137.54,141.05,130.207465640121,7213805,0.0,1.0
2022-04-20,143.21,144.81,140.06,140.34,129.552043445122,7301688,0.0,1.0
2022-04-21,142.34,143.6426,135.26,136.11,125.647204170697,8576484,0.0,1.0
2022-04-22,136.13,137.3319,132.65,132.81,122.600875658734,8315141,0.0,1.0
2022-04-25,131.32,136.81,130.91,136.56,126.062612604146,9673241,0.0,1.0
2022-04-26,135.02,136.35,132.63,133.5,123.23783525669,9211268,0.0,1.0
2022-04-27,130.815,138.11,130.66,135.1,124.714843020066,13855916,0.0,1.0
2022-04-28,142.87,151.2,139.13,148.19,136.798612784186,31111071,0.0,1.0
2022-04-29,145.81,147.5,139.52,139.69,128.952009041251,13693083,0.0,1.0
2022-05-02,140.6,145.66,139.1584,145.27,134.103073616025,13320932,0.0,1.0
2022-05-03,144.705,145.685,142.76,144.26,133.170712465394,7556824,0.0,1.0
2022-05-04,144.58,149.5,140.35,149.05,137.592504457001,10927817,0.0,1.0
2022-05-05,146.98,146.98,139.1801,141.64,130.752112252865,14561417,0.0,1.0
2022-05-06,141.248,144.1,137.88,140.58,129.773594609629,10080572,0.0,1.0
2022-05-09,137.99,140.11,134.06,134.92,124.548679646686,11668081,0.0,1.0
2022-05-10,139.5,139.8,134.63,136.81,126.293395067174,8841215,0.0,1.0
2022-05-11,135.03,138.29,131.89,132.3,122.130079434158,11530860,0.0,1.0
2022-05-12,131.0,133.06,127.82,131.77,121.640820612539,10749846,0.0,1.0
2022-05-13,134.29,135.99,132.5,134.93,124.557910945207,9280687,0.0,1.0
2022-05-16,133.98,135.98,132.0,133.91,123.616318496055,6378822,0.0,1.0
2022-05-17,137.2517,140.0,136.7,139.69,128.952009041251,9094149,0.0,1.0
2022-05-18,136.83,137.28,129.88,130.45,120.422289207754,11992677,0.0,1.0
2022-05-19,130.45,133.39,129.48,130.57,120.533064790007,8419507,0.0,1.0
2022-05-20,132.88,133.29,125.86,131.6,121.483888537681,11370115,0.0,1.0
2022-05-23,129.95,132.43,128.15,132.12,121.963916060778,10023360,0.0,1.0
2022-05-24,130.34,130.34,126.05,128.53,118.649879891703,9157088,0.0,1.0
2022-05-25,127.8,132.07,127.25,131.23,121.1423304924,9766000,0.0,1.0
2022-05-26,130.01,136.0,129.86,134.84,124.474829258517,7932769,0.0,1.0
2022-05-27,136.1,140.135,136.1,139.76,129.016628130899,9180812,0.0,1.0
2022-05-31,139.5,143.965,137.44,143.22,132.210657419199,16007254,0.0,1.0
2022-06-01,142.55,143.91,138.17,140.02,129.94898928153,8514309,0.75,1.0
2022-06-02,140.26,146.25,139.7,146.2,135.684489594055,9589501,0.0,1.0
2022-06-03,142.18,143.44,140.61,141.22,131.062678662603,7458863,0.0,1.0
2022-06-06,144.95,144.97,139.92,140.44,130.338780564905,7238659,0.0,1.0
2022-06-07,139.13,142.15,138.49,141.89,131.684488567035,6062812,0.0,1.0
2022-06-08,140.746,141.761,137.45,138.96,128.965230328249,6772968,0.0,1.0
2022-06-09,137.77,140.44,136.69,136.71,126.877062738737,7153218,0.0,1.0
2022-06-10,134.75,136.06,132.42,133.2,123.619521299098,8549763,0.0,1.0
2022-06-13,130.59,131.35,126.6,128.66,119.406063140706,12320867,0.0,1.0
2022-06-14,130.21,131.93,128.82,130.26,120.89098231547,6794716,0.0,1.0
2022-06-15,131.67,133.28,128.21,131.03,121.605599668325,7859981,0.0,1.0
2022-06-16,126.26,126.65,119.025,120.82,112.129959184362,16422778,0.0,1.0
2022-06-17,121.42,122.8292,118.36,120.99,112.287731846681,17273384,0.0,1.0
2022-06-21,123.77,126.1199,123.72,124.39,115.443185093054,9208493,0.0,1.0
2022-06-22,121.8,123.6591,120.36,122.16,113.373578993227,9085270,0.0,1.0
2022-06-23,122.75,122.93,118.225,120.09,111.452464810876,7908863,0.0,1.0
2022-06-24,122.38,125.37,121.76,125.1,116.102117976856,8127978,0.0,1.0
2022-06-27,126.2,130.04,125.44,127.18,118.032512904049,9947329,0.0,1.0
2022-06-28,129.78,136.45,126.6,131.6,122.134602124334,27113344,0.0,1.0
2022-06-29,130.08,131.57,126.895,130.23,120.863140080943,9973261,0.0,1.0
2022-06-30,127.61,130.09,125.325,127.74,118.552234615216,9277889,0.0,1.0
2022-07-01,125.75,126.76,122.1,123.53,114.645041036619,7672790,0.0,1.0
2022-07-05,121.1,126.17,120.36,125.83,116.779612350342,8115934,0.0,1.0
2022-07-06,126.06,128.23,125.055,127.06,117.921143965942,6038378,0.0,1.0
2022-07-07,130.65,134.71,130.26,134.4,124.733210680171,9408097,0.0,1.0
2022-07-08,132.52,136.39,131.62,136.01,126.227410599778,8393153,0.0,1.0
2022-07-11,133.59,134.595,131.32,132.24,122.72856979424,5898175,0.0,1.0
2022-07-12,133.74,135.35,131.96,132.95,123.387502678042,5991262,0.0,1.0
2022-07-13,130.55,136.78,130.52,135.64,125.884023040613,7200225,0.0,1.0
2022-07-14,134.94,142.35,133.85,141.9,131.693769311877,10718681,0.0,1.0
2022-07-15,143.76,145.48,142.03,144.37,133.986113287919,11880450,0.0,1.0
2022-07-18,145.97,146.43,140.82,141.69,131.49887367019,7856599,0.0,1.0
2022-07-19,144.14,148.47,143.175,147.37,136.770336740602,9686500,0.0,1.0
2022-07-20,147.43,152.33,146.62,151.71,140.798180002149,8517374,0.0,1.0
2022-07-21,152.88,155.92,150.63,155.86,144.649689111693,8060419,0.0,1.0
2022-07-22,155.66,156.66,152.35,153.7,142.645048225761,7200136,0.0,1.0
2022-07-25,152.8,154.04,151.671,153.25,142.227414707859,4928925,0.0,1.0
2022-07-26,152.62,152.7,149.81,149.97,139.183330399593,5941787,0.0,1.0
2022-07-27,151.525,154.8,150.55,153.42,142.385187370178,12863027,0.0,1.0
2022-07-28,149.78,149.99,143.0,146.45,135.916508215112,17050977,0.0,1.0
2022-07-29,144.595,145.31,140.67,145.06,134.626484682036,11749403,0.0,1.0
