date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2022-01-03,188.82,190.62,187.46,190.6,169.343024041472,3783000,0.0,1.0
2022-01-04,191.0,192.1,188.2,190.8,169.520718715178,4137512,0.0,1.0
2022-01-05,190.41,191.61,186.65,186.82,165.984594708436,5047424,0.0,1.0
2022-01-06,186.67,188.52,185.79,186.76,165.931286306324,4502594,0.0,1.0
2022-01-07,181.97,184.06,178.9,179.44,159.427661248698,7414192,0.0,1.0
2022-01-10,177.9,183.23,176.88,182.96,162.555087505917,7195772,0.0,1.0
2022-01-11,182.5,186.08,181.21,184.64,164.047722765044,5195913,0.0,1.0
2022-01-12,186.0,187.34,184.4,186.03,165.282700747298,4240119,0.0,1.0
2022-01-13,188.97,189.625,183.61,184.15,163.612370814465,5361110,0.0,1.0
2022-01-14,183.26,187.2,183.0,187.01,166.153404648456,4731493,0.0,1.0
2022-01-18,183.61,184.36,181.26,182.28,161.950925615318,7298562,0.0,1.0
2022-01-19,183.44,183.58,178.19,178.3,158.414801608575,4940509,0.0,1.0
2022-01-20,178.78,180.56,173.38,173.45,154.105705771214,6057774,0.0,1.0
2022-01-21,174.06,179.55,173.33,175.64,156.05146244829,11527890,0.0,1.0
2022-01-24,175.78,178.62,171.12,178.34,158.450340543317,11726198,0.0,1.0
2022-01-25,174.91,178.01,173.04,173.96,154.558827189163,8157572,0.0,1.0
2022-01-26,182.27,183.25,176.18,178.33,158.441455809631,12852710,0.0,1.0
2022-01-27,180.9,181.02,173.1,174.81,155.314029552412,6755587,0.0,1.0
2022-01-28,173.81,177.47,169.39,177.29,158.539187880169,7322071,1.15,1.0
2022-01-31,177.68,179.64,175.84,179.49,160.506508165219,6980753,0.0,1.0
2022-02-01,179.59,181.67,176.6271,181.29,162.116133852986,6233689,0.0,1.0
2022-02-02,181.55,188.25,181.49,187.84,167.973382883473,8993765,0.0,1.0
2022-02-03,185.24,186.55,174.88,175.59,157.018985841722,11691391,0.0,1.0
2022-02-04,172.48,172.77,167.51,171.42,153.290019665061,11408619,0.0,1.0
2022-02-07,172.48,172.5,168.91,169.95,151.975492020051,6418908,0.0,1.0
2022-02-08,170.03,173.19,168.5,172.63,154.372045821838,4622189,0.0,1.0
2022-02-09,174.27,177.2,173.06,176.71,158.020530714111,7140590,0.0,1.0
2022-02-10,172.16,176.83,169.74,170.66,152.610399930226,7583414,0.0,1.0
2022-02-11,169.93,171.358,163.65,164.4,147.012479482767,7564212,0.0,1.0
2022-02-14,163.94,165.65,161.04,162.47,145.286603050883,7468021,0.0,1.0
2022-02-15,164.81,166.765,164.08,166.17,148.595278075739,6969987,0.0,1.0
2022-02-16,164.79,168.96,164.23,168.24,150.446347616672,4594280,0.0,1.0
2022-02-17,166.07,167.39,164.2,164.65,147.236038606069,6807676,0.0,1.0
2022-02-18,165.25,168.11,164.04,166.74,149.104992876865,6359284,0.0,1.0
2022-02-22,166.06,171.14,165.01,166.69,149.060281052205,7200625,0.0,1.0
2022-02-23,168.02,169.96,165.37,165.64,148.121332734341,5893890,0.0,1.0
2022-02-24,163.78,169.93,161.19,169.59,151.653566882497,7754828,0.0,1.0
2022-02-25,169.73,170.97,167.14,170.82,152.753477769138,4830065,0.0,1.0
2022-02-28,168.63,170.54,166.99,169.99,152.011261479779,5656824,0.0,1.0
2022-03-01,169.36,170.005,164.37,167.29,149.596822948128,6049736,0.0,1.0
2022-03-02,168.49,171.505,167.84,170.1,152.109627494031,5304114,0.0,1.0
2022-03-03,171.72,172.75,169.31,171.0,152.914440337915,5154240,0.0,1.0
2022-03-04,169.48,171.76,168.14,169.98,152.002319114847,6804786,0.0,1.0
2022-03-07,170.86,170.97,164.76,164.89,147.450655364437,7064847,0.0,1.0
2022-03-08,164.83,172.7,162.39,167.34,149.641534772788,7486503,0.0,1.0
2022-03-09,172.6,173.99,169.435,172.46,154.220025617993,6047344,0.0,1.0
2022-03-10,169.48,173.42,168.59,172.75,154.479354201022,6079155,0.0,1.0
2022-03-11,173.9,175.43,169.94,170.36,152.342128982264,4869906,0.0,1.0
2022-03-14,169.96,171.65,166.09,166.72,149.087108147001,4863167,0.0,1.0
2022-03-15,168.58,172.64,167.885,172.32,154.094832508945,5138676,0.0,1.0
2022-03-16,173.76,176.47,171.43,176.33,157.680720846693,5660414,0.0,1.0
2022-03-17,175.84,178.48,175.24,178.47,159.59438694215,4930846,0.0,1.0
2022-03-18,178.2,180.35,175.7375,180.1,161.051992426073,8891882,0.0,1.0
2022-03-21,179.29,181.21,177.725,180.46,161.373917563627,4954454,0.0,1.0
2022-03-22,180.875,182.74,180.0,182.35,163.064024535783,3802506,0.0,1.0
2022-03-23,182.0,183.0,179.03,179.08,160.139871203005,4821128,0.0,1.0
2022-03-24,180.34,184.33,179.63,184.21,164.727304413142,4169424,0.0,1.0
2022-03-25,184.67,186.2,183.2,184.9,165.344327593453,3730755,0.0,1.0
2022-03-28,183.16,185.79,182.01,185.68,166.041832058152,3117048,0.0,1.0
2022-03-29,187.97,191.34,187.29,191.01,170.808112566931,5835722,0.0,1.0
2022-03-30,190.0,190.9,186.71,187.45,167.624630651124,3865719,0.0,1.0
