date,symbol,log_ret,volatility_20d,volume_change,ps_ratio,pe_ratio,rev_growth_qoq,real_rate,yield_curve,unemployment_change,close,is_trading_day
2021-07-03,AAPL,0.0,0.008942413590063718,-0.9999999999999823,1.5623325593856047e-09,5.9229792636479055e-09,0.0,-7.92279982052121,1.68,0.0,139.96,1.0
2021-07-04,AAPL,0.0,0.007710513317250105,-0.9999999999999807,1.5623325593856047e-09,5.9229792636479055e-09,0.0,-7.92279982052121,1.68,0.0,139.96,1.0
2021-07-05,AAPL,0.0,0.007400181444305502,-0.9999999999999795,1.5623325593856047e-09,5.9229792636479055e-09,0.0,-7.92279982052121,1.68,0.0,139.96,1.0
2021-07-06,AAPL,0.014611225254460288,0.007783292423697358,1.1868762775006327,1.5853277370959101e-09,6.010156580617859e-09,0.0,-7.92279982052121,1.68,0.0,142.02,1.0
2021-07-07,AAPL,0.017795926566403365,0.008154702206325557,1.1033582972812999,1.6137926415431326e-09,6.1180702496826065e-09,0.0,-7.92279982052121,1.68,0.0,144.57,1.0
2021-07-08,AAPL,-0.009242274190118959,0.008070882844811918,1.123859727139975,1.5989462404000716e-09,6.0617858654253074e-09,0.0,-7.92279982052121,1.68,0.0,143.24,1.0
2021-07-09,AAPL,0.012970530372769561,0.008195797507501315,0.8260309546712291,1.6198205036613682e-09,6.14092255607279e-09,0.0,-7.92279982052121,1.68,0.0,145.11,1.0
2021-07-10,AAPL,0.0,0.008195797507501315,-0.9999999999999818,1.6198205036613682e-09,6.14092255607279e-09,0.0,-7.92279982052121,1.68,0.0,145.11,1.0
2021-07-11,AAPL,0.0,0.008010995738029984,-0.9999999999999803,1.6198205036613682e-09,6.14092255607279e-09,0.0,-7.92279982052121,1.68,0.0,145.11,1.0
2021-07-12,AAPL,-0.004212567950514729,0.008010694562683841,0.5020687781065283,1.6130112520092874e-09,6.115107913669065e-09,0.0,-7.92279982052121,1.68,0.0,144.5,1.0
2021-07-13,AAPL,0.007858315754745788,0.007935481545515063,0.9086257384580784,1.6257367387033398e-09,6.163351671603893e-09,0.0,-7.92279982052121,1.68,0.0,145.64,1.0
2021-07-14,AAPL,0.023814687653525065,0.00889364905405905,1.2791808531829432,1.66491784247187e-09,6.311891663140077e-09,0.0,-7.92279982052121,1.68,0.0,149.15,1.0
2021-07-15,AAPL,-0.00450224192286715,0.00901138470909666,0.8562630461655723,1.6574388283622074e-09,6.283537875581887e-09,0.0,-7.92279982052121,1.68,0.0,148.48,1.0
2021-07-16,AAPL,-0.014175975854570004,0.009970254594267598,0.4990153074819583,1.6341087694231112e-09,6.195090986034701e-09,0.0,-7.92279982052121,1.68,0.0,146.39,1.0
2021-07-17,AAPL,0.0,0.009970254594267598,-0.9999999999999839,1.6341087694231112e-09,6.195090986034701e-09,0.0,-7.92279982052121,1.68,0.0,146.39,1.0
2021-07-18,AAPL,0.0,0.009851687783300462,-0.9999999999999831,1.6341087694231112e-09,6.195090986034701e-09,0.0,-7.92279982052121,1.68,0.0,146.39,1.0
2021-07-19,AAPL,-0.027283232239403096,0.011926656949012283,0.9603037325850767,1.5901277013752455e-09,6.028353787558188e-09,0.0,-7.92279982052121,1.68,0.0,142.45,1.0
2021-07-20,AAPL,0.02564243061333787,0.013027221401280141,0.5149079869524427,1.6314297195927846e-09,6.184934405416843e-09,0.0,-7.92279982052121,1.68,0.0,146.15,1.0
2021-07-21,AAPL,-0.005144926457835942,0.013161296003333666,0.158618326187309,1.6230576888730132e-09,6.153195090986035e-09,0.0,-7.92279982052121,1.68,0.0,145.4,1.0
2021-07-22,AAPL,0.009582551080996156,0.0126866589795494,0.1963283979302193,1.6386854795499198e-09,6.2124418112568775e-09,0.0,-7.92279982052121,1.68,0.0,146.8,1.0
2021-07-23,AAPL,0.011917800864035103,0.012847572275266332,0.04732997039324097,1.6583318449723166e-09,6.286923402454507e-09,0.0,-7.92279982052121,1.68,0.0,148.56,1.0
2021-07-24,AAPL,0.0,0.012847572275266332,-0.9999999999999853,1.6583318449723166e-09,6.286923402454507e-09,0.0,-7.92279982052121,1.68,0.0,148.56,1.0
2021-07-25,AAPL,0.0,0.012847572275266332,-0.9999999999999853,1.6583318449723166e-09,6.286923402454507e-09,0.0,-7.92279982052121,1.68,0.0,148.56,1.0
2021-07-26,AAPL,0.002890272554797575,0.012553115710996763,0.09036175590991596,1.6631318092516522e-09,6.3051206093948374e-09,0.0,-7.92279982052121,1.68,0.0,148.99,1.0
2021-07-27,AAPL,-0.015012453976140393,0.01257834825838733,0.5779610378791799,1.6383505983211288e-09,6.211172238679645e-09,0.0,-7.92279982052121,1.68,0.0,146.77,1.0
2021-07-28,AAPL,-0.012270933750375825,0.012722449607775231,0.772595394152454,1.618369351669941e-09,6.135421074904781e-09,0.0,-7.92279982052121,1.68,0.0,144.98,1.0
2021-07-29,AAPL,0.004542021434500986,0.01242741847039364,-0.16188823056457258,1.6257367387033398e-09,6.163351671603893e-09,0.0,-7.92279982052121,1.68,0.0,145.64,1.0
2021-07-30,AAPL,0.001509434248854562,0.012430836101429664,0.030767661285989824,1.6281925343811396e-09,6.172661870503598e-09,0.0,-7.92279982052121,1.68,0.0,145.86,1.0
2021-07-31,AAPL,0.0,0.012430836101429664,-0.9999999999999853,1.6281925343811396e-09,6.172661870503598e-09,0.0,-7.92279982052121,1.68,0.0,145.86,1.0
2021-08-01,AAPL,0.0,0.012386714799135562,-0.9999999999999846,1.6281925343811396e-09,6.172661870503598e-09,0.0,-7.92279982052121,1.68,0.0,145.86,1.0
2021-08-02,AAPL,-0.0023337233462202116,0.012275843350433916,0.0040602998974607245,1.6243972137881767e-09,6.158273381294965e-09,0.0,-7.92279982052121,1.68,0.0,145.52,1.0
2021-08-03,AAPL,0.012565038297129844,0.01134788661481994,0.08862250350151653,1.6449365958206824e-09,6.236140499365215e-09,0.0,-7.92279982052121,1.68,0.0,147.36,1.0
